uID;Name;Firma;Alternativname;Quelle
1031;Universität Göttingen (ohne Klinikum);Dr. Berliner - Dr. Ungewitter - Stiftung;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Dr. Michael Bunte;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Carl Zeiss;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Concept Dental GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Cuvillier Verlag;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Edmund Rehwinkel-Stiftung;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Evangelisch-lutherische Landeskirche Hannovers;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Evangelische Kirche Deutschland (EKD);;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Genossenschaftsverband e.V.;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Göttinger Verein zur Förderung des internationalen Rechts e.V.;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);GWG Gesellschaft für Wirtschaftsförderung und Stadtentwicklung Göttingen mbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Heinz Sielmann Stiftung;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Heraeus;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Klinikum Werra-Meißner GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);KWS;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Förderverein für das Palliativzentrum der Universitätsmedizin Göttingen e.V.;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Lodhiamedics;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);m3team AG;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Niedersächsische Landesforsten;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);neuroConn GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);NextiraOne Deutschland GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Phywe Systeme GmbH & Co.KG;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Sartorius;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Schlütersche Verlagsgesellschaft;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);selaestus Personal Management GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);SIGVARIS GmbH;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Sparkasse Göttingen;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Stadt Göttingen;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Stadtwerke Göttingen;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Stiftung der Georg-August-Universität;;https://www.uni-goettingen.de/de/416121.html
1031;Universität Göttingen (ohne Klinikum);Symrise;;https://www.uni-goettingen.de/de/416121.html
