uID;Name;Förderer;Wert;Hinweis;Alternativname;Quelle;Quelle 2
1060;Bucerius Law School Hamburg (Priv. H);Hunck, Rolf und Sigrid;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Huth Dietrich Hahn;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Jahr, Heike;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Johanna und Fritz Buch Gedächtnisstiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Karl-Schlecht-Stiftung;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Latham & Watkins LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Max Kade Foundation;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Noerr-Gruppe;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Nörenberg Schröder;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Norton Rose Fulbright LLP;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Reimer Rechtsanwälte;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Ruge Krömer Rechtsanwälte;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Schomerus & Partner;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);White & Case LLP ;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);Ashurst;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
1060;Bucerius Law School Hamburg (Priv. H);gürtlerbachmann Werbung GmbH;;Kooperationspartner;;http://www.law-school.de/deutsch/die-hochschule/foerderung;
