Land;Hochschule;Fakultät;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Startpunkt;Quelle;Alternativname;Status
Bremen;Hochschule Bremen;;China;Henning Melchers ;;;;2010;;;
Bremen;Hochschule Bremen;;China;Ostasiatischen Verein zu Bremen;;;;;;;
Bremen;Hochschule Bremen;;China;Peter Franz Neelmeyer-Stiftung;;10000;;;;;
Bremen;Hochschule Bremen;;China;Ernst-Georg Heinemann-Stiftung;;5000;;;;;
Bremen;Hochschule Bremen;;Stiftungsprofessur Maritimes Management;Bremer Rhederverein e.V.;;;5 Jahre;2010;;;
Bremen;Hochschule Bremen;;Stiftungsprofessur zum Masterstudiengang Zukunftsfähige Energiesysteme;swb AG;;;;;;;
Bremen;Hochschule Bremen;;Stiftungsprofessur zum Masterstudiengang Zukunftsfähige Energiesysteme;EWE;;;;;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Kieserling-Stiftung;;380000;;2012;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Conrad Naber Stiftung;;;;;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Bremer Landesbank;;;;;;Stiftung der Bremer Landesbank;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Bremer Rhederverein e.V.;;;;;;;
Bremen;Hochschule Bremen;;2 Stiftungsprofessuren im Studiengang Internationaler Studiengang Shipping and Chartering;Wirtschaftsprüfungs- und Steuerberatungsgesellschaft Dr. Steinberg und Partner GmbH;;;;;;;
Bremen;Hochschule Bremerhaven;;Integrated Safety and Security Management;Nordseezeitung;;;;;;;
Bremen;Hochschule Bremerhaven;;Integrated Safety and Security Management;BLG Logistics;;;;;;;
Bremen;Hochschule Bremerhaven;;Simulation auf dem Gebiet der Windenergietechnik;AREVA Wind GmbH;100000;;5 Jahre;2010;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Bremer Landesbank;100000;;5 Jahre;2010;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Sparkasse Bremerhaven;;;;;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Germanischer Lloyd AG;;;;;;;
Bremen;Hochschule Bremerhaven;;Mess-, Steuerungs- und Regelungstechnik auf dem Gebiet der Windenergietechnik;Beluga Shipping GmbH;;;;;;;
Bremen;Universität Bremen;;Christa und Manfred Fuchs-Stiftungsprofessur für Raumfahrttechnologie/System Enabling Technologies;OHB System AG;;;10 Jahre;2012;http://www.uni-bremen.de/universitaet/foerderer-partner/gefoerderte-projekte/stiftungsprofessuren.html;;
Bremen;Universität Bremen;;Christa und Manfred Fuchs-Stiftungsprofessur für Raumfahrttechnologie/System Enabling Technologies;Deutsches Zentrum für Luft- und Raumfahrt;;;;;;;
Bremen;Universität Bremen;;Christa und Manfred Fuchs-Stiftungsprofessur für Raumfahrttechnologie/System Enabling Technologies;Stifterverband für die Deutsche Wissenschaft;;;;;;;
Bremen;Universität Bremen;Institut für Handelsrecht;Lichtenberg-Professur für transnationales Wirtschaftsrecht;Volkswagen-Stiftung;;1170000;5 Jahre;2012;;;
Bremen;Universität Bremen;;Airbus-Stiftungsprofessur für Multiskalensimulation und -modellierung von Materialien;Airbus Group;;;5 Jahre;2009;;;
Bremen;Universität Bremen;;Stiftungsprofessur der Stiftung Bremer Wertpapierbörse MR-Spektroskopie/MR-Bildbearbeitung;Stiftung Bremer Wertpapierbörse;;;5 Jahre;2009;;;
Bremen;Universität Bremen;;Stiftungsprofessur der Stiftung Bremer Wertpapierbörse MR-Spektroskopie/MR-Bildbearbeitung;Wolfgang-Ritter-Stiftung;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur der Stiftung Bremer Wertpapierbörse MR-Spektroskopie/MR-Bildbearbeitung;Fraunhofer-Gesellschaft;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Echtzeitbildverarbeitung;Deutschen Forschungszentrum für Künstliche Intelligenz (DFKI);;;6 Jahre;2008;;;
Bremen;Universität Bremen;;Conrad-Naber-Stiftungsprofessur für Grenzflächenforschung: Bio-Nano-Werkstofftechnik;Conrad Naber Stiftung;;;2 Jahre;2007;;;
Bremen;Universität Bremen;;Helmut Schmidt Chair of International History;DIE ZEIT, Hamburg;;;3 Jahre;2002;;Zeit-Stiftung, Ebelin und Gerd Bucerius;
Bremen;Universität Bremen;;Mehrsprachigkeit in Europa;Conrad Naber Stiftung;100000;;5 Jahre;2008;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Klinische Epidemiologe;Stiftung Arzneimittelsicherheit;;;5 Jahre;2007;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Klinische Epidemiologe;Bayer;;;;;;Bayer AG;
Bremen;Universität Bremen;;Kooperations-Juniorprofessur Bundesstaatliche und regionale Finanzbeziehungen;Senator für Finanzen;;;6 Jahre;2007;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Prozessgerechte Technologiegestaltung;Daimler;;;5 Jahre;2008;;Daimler-Fonds beim Stifterverband für die Deutsche Wissenschaft;
Bremen;Universität Bremen;;Stiftungsprofessur für Klinische Kinderpsychologie;Förderverein der Universitätskinderambulanz;;;unbefristet;2007;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Management nachhaltiger Systementwicklung;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;2004;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Rehabilitationspsychologie;LVA Oldenburg Bremen;;;6 Jahre;2004;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Stifterverband für die Deutsche Wissenschaft;;;3 Jahre;2002;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Kraft Foods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Beck's;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Masterfoods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Frosta;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Basler Securitas;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Betriebswirtschaftslehre insbes. Innovatives Markenmanagement;Kellogg's;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Verfahren zur Wertstoffrückgewinnung;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;2001;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Verfahren zur Wertstoffrückgewinnung;hanseWasser GmbH;;;;;;;
Bremen;Universität Bremen;;Daimler-Stiftungsprofessur für Management mittelständiger Unternehmen im internationalen Geschäft;Stifterverband für die Deutsche Wissenschaft;;;3 Jahre;2001;;;
Bremen;Universität Bremen;;Daimler-Stiftungsprofessur für Management mittelständiger Unternehmen im internationalen Geschäft;Daimler;;;;;;DaimlerChrysler Fonds beim Stifterverband;
Bremen;Universität Bremen;;Stiftungsprofessur Neuropharmakologie;Stifterverband für die Deutsche Wissenschaft;;;3 Jahre;2000;;;
Bremen;Universität Bremen;;Stiftungsprofessur Neuropharmakologie;Rudolf- und Helene-Glaser-Stiftung und Stemmler-Stiftung;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Wirtschaftspolitik und Wirtschaftsstruktur;Wirtschaftsstrukturpolitisches Aktionsprogramm des Landes Bremen und Europäische Gemeinschaft;;;5 Jahre;1995;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Keramische Werkstoffe;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;1994;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Keramische Werkstoffe;Daimler;;;;;;Stiftungsfonds Daimler-Benz;
Bremen;Universität Bremen;;Stiftungsprofessur für Mathematische Grundlagen der Logistik;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;1992;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Mathematische Grundlagen der Logistik;Kraft Foods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Mathematische Grundlagen der Logistik;Beck's;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Mathematische Grundlagen der Logistik;Masterfoods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Mathematische Grundlagen der Logistik;Frosta;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Mathematische Grundlagen der Logistik;Basler Securitas;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Mathematische Grundlagen der Logistik;Kellogg's;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Umweltverfahrenstechnik;Stifterverband für die Deutsche Wissenschaft;;;5 Jahre;1989;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Umweltverfahrenstechnik;Kraft Foods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Umweltverfahrenstechnik;Beck's;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Umweltverfahrenstechnik;Masterfoods;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Umweltverfahrenstechnik;Frosta;;;;;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Umweltverfahrenstechnik;Basler Securitas;;;;;;;
Bremen;Universität Bremen;;Stiftungsgastprofessur für International Law;Peter Lürßen;;;;2006;;;
Bremen;Universität Bremen;;Stiftungsprofessur für Umweltverfahrenstechnik;Kellogg's;;;;;;;
Rheinland-Pfalz;FH Mainz;Geoinformatik und Vermessung;Stiftungsprofessur Geo-Government;Carl Zeiss;115000;575000;5 Jahre;2015;;Carl-Zeiss-Stiftung;
Rheinland-Pfalz;Universität Mainz;Institut für Anorganische Chemie und Analytische Chemie;Oxidische Materialien;Carl Zeiss;150000;;;2015;;Carl-Zeiss-Stiftung;
Rheinland-Pfalz;Universität Mainz;;Johannes-Gutenberg-Stiftungsprofessur;Freunde der Universität Mainz e.V.;;k.A.;10 Jahre;;;;
Rheinland-Pfalz;Universität Mainz;;öffentliches Recht unter besonderer Berücksichtigung des Datenschutzrechts und der Informationsfreiheit;Debeka;;;;noch nicht besetzt;;;
Rheinland-Pfalz;Universität Mainz;;Allgemeine Pastoraltheologie;Bischöfliches Ordinariat Mainz;;;;;;;
Rheinland-Pfalz;Universität Mainz;;Professur Arithmetische Geometrie;Deutsche Forschungsgemeinschaft;;;5 Jahre;;;;
Rheinland-Pfalz;Universität Mainz;;Juniorprofessur Theoretische Physik kondensierter Materie;Carl Zeiss;;;5 Jahre;;;Carl-Zeiss-Stiftung;
Rheinland-Pfalz;Universität Mainz;;Juniorprofessur Experimentelle Teilchen- und Astrophysik;Volkswagen-Stiftung;;;5 Jahre;;;;
Rheinland-Pfalz;Universität Mainz;;Biomineralogie;Deutsche Forschungsgemeinschaft;;;;;;;
Rheinland-Pfalz;Universität Mainz;;Zell- und Entwicklungsbiologie mit dem Schwerpunkt Signaltransduktion und Epigenetik;Boehringer Ingelheim;;50000000;10 Jahre;;;;
Rheinland-Pfalz;Universität Mainz;;Molekularbiologie der Genomstabilität;Boehringer Ingelheim;;;10 Jahre;;;;
Rheinland-Pfalz;Universität Mainz;;Entwicklungsepigenetik;Boehringer Ingelheim;;;10 Jahre;;;;
Rheinland-Pfalz;Universitätsmedizin der Johannes Gutenberg-Universität Mainz;;"Heisenberg-Professur ""Arithmetische Geometrie""";Deutsche Forschungsgemeinschaft;;;5 Jahre;;;;
Rheinland-Pfalz;Universitätsmedizin der Johannes Gutenberg-Universität Mainz;;"Heisenberg-Professur ""Paläoklima""";Deutsche Forschungsgemeinschaft;;;;;;;
Rheinland-Pfalz;Universitätsmedizin der Johannes Gutenberg-Universität Mainz;;Dieter Haupt-Stiftungsprofessur;Stiftung Tumorforschung Kopf-Hals;;;;;;;
Rheinland-Pfalz;Universitätsmedizin der Johannes Gutenberg-Universität Mainz;;Experimentelle Thrombose und Hämostase;Alexander von Humboldt Stiftung;;;5 Jahre;;;;
Rheinland-Pfalz;Universitätsmedizin der Johannes Gutenberg-Universität Mainz;;Stiftungsprofessur für Experimentelle Hämastaseologie und Labormedizin;Deutsche Vereinte Gesellschaft für Klinische Chemie und Labormedizin;;;5 Jahre;;;;
Rheinland-Pfalz;Universitätsmedizin der Johannes Gutenberg-Universität Mainz;;Stiftungsprofessur für Palliativmedizin;Deutsche Krebshilfe;;;5 Jahre;;;;
Rheinland-Pfalz;Universitätsmedizin der Johannes Gutenberg-Universität Mainz;;Metabolische Speichererkrankungen;Shire Deutschland GmbH;;;5 Jahre;;;;
Rheinland-Pfalz;Hochschule Ludwigshafen am Rhein;;Diversity in Sozialwissenschaften;H. Prof. Dr. jur. Carl-Heinrich Esser, Mannheim;300000;;3 Jahre;;;;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsprivatrecht, Gesellschaftsrecht, Konzern- und Umwandlungsrecht;Ernst & Young;;;6 Jahre;;;;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsprivatrecht, Gesellschaftsrecht, Konzern- und Umwandlungsrecht;Deloitte & Touche;;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsprivatrecht, Gesellschaftsrecht, Konzern- und Umwandlungsrecht;KPMG;;;;;;;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsprivatrecht, Gesellschaftsrecht, Konzern- und Umwandlungsrecht;PricewaterhouseCoopers;;;;;;;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsrecht, insbesondere Wirtschaftsprivatrecht;Ernst & Young;;;;;;;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsrecht, insbesondere Wirtschaftsprivatrecht;Deloitte & Touche;;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsrecht, insbesondere Wirtschaftsprivatrecht;KPMG;;;;;;;
Rheinland-Pfalz;FH Mainz;;Wirtschaftsrecht, insbesondere Wirtschaftsprivatrecht;PricewaterhouseCoopers;;;;;;;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Verkehrssteuern;Ernst & Young;;;;;;;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Verkehrssteuern;Deloitte & Touche;;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Verkehrssteuern;KPMG;;;;;;;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Verkehrssteuern;PricewaterhouseCoopers;;;;;;;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Ertragssteuern;Ernst & Young;;;;;;;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Ertragssteuern;Deloitte & Touche;;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Ertragssteuern;KPMG;;;;;;;
Rheinland-Pfalz;FH Mainz;;Steuerrecht, insbesondere Ertragssteuern;PricewaterhouseCoopers;;;;;;;
Rheinland-Pfalz;FH Kaiserslautern;Informatik und Mikrosystemtechnik (IMST;Optische und elektrophysiologische Analyseverfahren in der Biomedizin;Carl Zeiss;118000;;5 Jahre;2014;;;
Rheinland-Pfalz;TU Kaiserslautern;;Mathematik, Finanzierung, Finanzierung;Deutsche Forschungsgemeinschaft;;;;;;;
Rheinland-Pfalz;TU Kaiserslautern;;Computional Stochastics, Finanzierung;Fraunhofer-Gesellschaft;;;;;;;
Rheinland-Pfalz;TU Kaiserslautern;;Statistik Räumlicher Strukturen, Finanzierung;Carl Zeiss;;;;;;Carl-Zeiss-Stiftung;
Rheinland-Pfalz;TU Kaiserslautern;;Verfahrensentwicklung;BASF;;;;;;;
Rheinland-Pfalz;TU Kaiserslautern;;Angewandte Theoretische Physik;Deutsche Forschungsgemeinschaft;;;;;;;
Rheinland-Pfalz;Universität Trier;;HealthCare Management und Logistik;Thiel AG;;8338500;14 Jahre;2003;;;
Rheinland-Pfalz;Universität Trier;;Philosophie der Antike;Trebuth-Stiftung;;1425000;6 Jahre;2009;;;
Rheinland-Pfalz;Universität Koblenz-Landau;;Stiftungsprofessur für Technische Chemie und Korrosionswissenschaften;;;;;;;;
Rheinland-Pfalz;Universität Koblenz-Landau;;Stiftungsprofessur für Demographieforschung;Energie Südwest AG;;;;;;;
Rheinland-Pfalz;Universität Koblenz-Landau;;Stiftungsprofessur für Demographieforschung;Leadership- Kultur-Stiftung Landau;;;;;;;
Rheinland-Pfalz;Universität Koblenz-Landau;;Stiftungsprofessur für Demographieforschung;Bürgerstiftung der Sparkasse Südliche Weinstraße;;;;;;;
Rheinland-Pfalz;Universität Koblenz-Landau;;Stiftungsprofessur für Demographieforschung;Stifterverband für die Deutsche Wissenschaft;;;;;;;
Mecklenburg-Vorpommern;Universität Greifswald (ohne Klinikum);;Gesundheit und Prävention;Stifterverband für die Deutsche Wissenschaft;;;;;;;
Mecklenburg-Vorpommern;Universität Rostock (ohne Klinikum);Maschinenbau und Schiffstechnik;Windenergietechnik;Nordex SE;200000;;5 Jahre;2014;;;
Mecklenburg-Vorpommern;Universität Rostock (ohne Klinikum);Agrar- und Umweltwissenschaftliche Fakultät;Wasserwirtschaft;Eurawasser;80000;;5 Jahre;2013;;;
Mecklenburg-Vorpommern;Universität Rostock (ohne Klinikum);;Herman-Schmitz-Professur für phänomenologische Philosophie;Dr. Johannes Werhahn;;;;;;;
Mecklenburg-Vorpommern;Universität Rostock (ohne Klinikum);;Lichtenberg-Professur für sensorische und kognitive ökologie;Volkswagen-Stiftung;;;;;;;
Mecklenburg-Vorpommern;Universität Rostock (ohne Klinikum);;Uwe-Johnson-Stiftungsprofessur für neuere deutsche Literaturwissenschaft des 20. Jahrhunderts;Fries GmbH und Co. KG;125000;plus einmalig 250.000;5 Jahre;2009;;;
Mecklenburg-Vorpommern;Hochschule für Musik und Theater, Rostock;;Musikmanagement/Kultur-management;Stiftergemeinschaft, vertreten durch den Aufsichtsrat der Festspiele M-V;;;;;;;
Hamburg;Universität Hamburg (Klinikum);Polklinik für Medizinische Psychologie des Universitätsklinikums Hamburg-Eppendorf ;Klinische Versorgungsforschung;Damp-Stiftung ;;;5 Jahre;2013;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Kunstgeschichte;Alexander von Humboldt Stiftung;700000;3500000;5 Jahre;2013;;;
Hamburg;Universität Hamburg (ohne Klinikum);Asien-Afrika-Institut;Numata Stiftungsprofessur für Japanischen Buddhismus;;;1297000;30 Jahre;2014;;;
Hamburg;Universität Hamburg (ohne Klinikum);Asien-Afrika-Institut;Numata Stiftungsprofessur für Buddhismuskunde;Numata Foundation;;;unbegrenzt;1999;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Generali;;125000;5 Jahre;2010;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);NRS Norddeutsche Retail-Sevice AG (Haspa);25000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);PPI AG;25000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Steria Mummert Consulting AG;25000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Deutsche Telekom;25000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Vattenfall;25000;;;;;Vattenfall Europe Information Services GmbH;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Capgemini Deutschland GmbH;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);DAKOSY Datenkommunikationssystem AG;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Dataport;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);DV-RATIO NORD GmbH;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);FORTIS IT-Services GmbH;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Hamburg Port Authority;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);HPC Aktiengesellschaft;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);itemis AG;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);iteratec GmbH;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Lufthansa;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);Kühne + Nagel (AG & Co.) KG;15000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);vero projects - Kopsch Projektmanagement GmbH;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);www Bitmanager AG;5000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);IndiTango AG;15000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);EDEKA ZENTRALE AG & Co. KG;25000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Stiftungsprofessur IT-Management und -Consulting (ITMC);INFO AG;15000;;;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Rudolf-Augstein-Stiftungsprofessur für Praxis des Qualitätsjournalismus;Rudolf-Augstein-Stiftung;200000;1000000;5 Jahre;;;;
Hamburg;Universität Hamburg (ohne Klinikum);;Betriebswirtschaftslehre, insbesondere Marketing und Dialogmarketing;Siegfried Vögele Institut - Internationale Gesellschaft für Dialogmarketing GmbH (SVI);250000;1250000;5 Jahre;2011;;;
Hamburg;Hochschule für Musik und Theater Hamburg;;Jazz-Gesang;Gemeinnützige Dr. E.A. Langner-Stiftung;30000;150000;5 Jahre;;;;
Hamburg;Hochschule für Musik und Theater Hamburg;;Jazz-Percussion;Gemeinnützige Dr. E.A. Langner-Stiftung;30000;;;;;;
Hamburg;Hochschule für Angewandte Wissenschaften Hamburg;;Marketing und Strategischer Einkauf im Handel;Otto Gruppe;70000;350000;5 Jahre, um 5 Jahre verlängert;2007;;;
Hamburg;Hochschule für Angewandte Wissenschaften Hamburg;;Architektur von Flugzeugkabinen;Airbus Group;84000;420000;5 Jahre;;;;
Hamburg;Hochschule für Angewandte Wissenschaften Hamburg;;Navigationstechnologien in der Orthopädie und Sportmedizin;Aesculap AG;90000;450000;5 Jahre ab Einstellung der Professorin/des Professors, Berufungsverfahren läuft noch.;;;;
Hamburg;Hochschule für Angewandte Wissenschaften Hamburg;;Navigationstechnologien in der Orthopädie und Sportmedizin;Schön Klinik Hamburg Eilbek;;;;;;;
Hamburg;TU Hamburg-Harburg;;Flugzeug-Kabinensysteme;Airbus Group;300000;1500000;5 Jahre;2009;;;
Hamburg;TU Hamburg-Harburg;;Rekonfigurierbare Multiprozessor-Architekturen  ;Nordmetall;70000;420000;2*3 Jahre (Juniorprofessur);;;;
Hamburg;TU Hamburg-Harburg;;Abfallressourcenwirtschaft;Stadtreinigung Hamburg;220000;1150000;5 Jahre;2011;;;
Hamburg;TU Hamburg-Harburg;;Baumechatronik;Werner Möbius-Stiftung;100000;500000;5 Jahre;;;;
Hamburg;Bucerius Law School Hamburg (Priv. H);;Friedrich-Stiftungsprofessur für rechtswissenschaftliche Innovationsforschung;Friedrich Stiftung;;;;;;;
Hamburg;EBC Euro Business College Hamburg (Priv. FH);;Internationale Wirtschaftsethik und Nachhaltigkeit;Dr. Jürgen Meyer Stiftung;;;;2012;;;
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);;Wald- und Forstgeschichte;Andreas Stihl;100000;1000000;10 Jahre;;;Andreas-Stihl-Stiftung;
Baden-Württemberg;Universität Freiburg i.Br. (ohne Klinikum);;Wilfried Guth Stiftungsprofessur für Volkswirtschaftslehre;Baden Badener Unternehmensgespräche;450000;4500000;10 Jahre;;;;
Baden-Württemberg;Universität Freiburg i.Br. (Klinikum);;Zelluläre und Systemische Neurophysioloige;Volkswagen-Stiftung;220000;1120000;5 Jahre;;;;
Baden-Württemberg;Universität Freiburg i.Br. (Klinikum);;Hepatologie (Heisenberg);Deutsche Forschungsgemeinschaft;;;5 Jahre;;;;
Baden-Württemberg;Universität Freiburg i.Br. (Klinikum);;Hämatopoetische Zelltherapie;Förderverin krebskranker Kinder e.V. Freiburg;220000;1320000;6 Jahre;;;;
Baden-Württemberg;Universität Freiburg i.Br. (Klinikum);;Stationäre und teilstationäre Psychotherapie in der psychosomatischen Medizin;Kur- und Rehaklinik GmbH;;;6 Jahre;;;;
Baden-Württemberg;Universität Freiburg i.Br. (Klinikum);;Neuroelektronische Systeme;Osypka;210000;1260000;6 Jahre;;;;
Baden-Württemberg;Universität Freiburg i.Br. (Klinikum);;Palliativmedizin;Deutsche Krebshilfe;150000;770000;5 Jahre;;;;
Baden-Württemberg;SRH Hochschule Heidelberg;;Wissenschaftliche Weiterbildung und Personalentwicklung;randstad;;;unbegrenzt;2007;;randstad stiftung;
Baden-Württemberg;Universität Heidelberg (Klinikum);;Integrative Computational Cardiology;Klaus Tschira Stiftung;350000;;4 Jahre;2014;;;
Baden-Württemberg;Universität Heidelberg (Klinikum);Klaus-Tschira-Institute for Integrative Computational Cardiology;Stiftungsprofessur für Archäometrie;Klaus Tschira Stiftung;100000;;5 Jahre;2013;;;
Baden-Württemberg;Universität Heidelberg (Klinikum);;Molekularbiologie des Mamakarzinoms;Dietmar-Hopp-Stiftung;500000;2500000;5 Jahre;;;;
Baden-Württemberg;Universität Heidelberg (Klinikum);;Vaskuläre Biologie und Tumorangiogenese;Hoechst;160000;1600000;10 Jahre;;;;
Baden-Württemberg;Universität Heidelberg (Klinikum);;Transfusionsmedizin und Immunologie;DRK Blutspendedienst Baden-Württemberg;120000;1200000;10 Jahre;;;;
Baden-Württemberg;Universität Heidelberg (Klinikum);Medizinischen Fakultät Mannheim;Karl-Feuerstein-Stiftungsprofessur;Daimler;160000;1600000;10 Jahre;;;DaimlerChrysler-Fonds im Stifterverband für die Deutsche Wissenschaft;
Baden-Württemberg;Universität Heidelberg (Klinikum);;Molekulare Virologie;Chica und Heinz Schaller Stiftung;130000;1300000;10 Jahre;2001;;;
Baden-Württemberg;Universität Heidelberg (Klinikum);;Versorgungsforschung in der Psychosozialen Medizin;Prof. Dr. Rolf Wahl, Luisenklinik Bad Dürrheim;80000;800000;10 Jahre;;;;
