Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;Quelle
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;1000;Pflanzenpatenschaft;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;3000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;50000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;2727,37;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Sponsoring;690;MICOM;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Sponsoring;1000;MICOM;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Sponsoring;690;MICOM;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Sponsoring;500;MICOM;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Sponsoring;760;MICOM;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Sponsoring;600;MICOM;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;500;Zuschuss Tagung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;3000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Sponsoring;504,2;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;700;Biochemie;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;532,27;Botanischer Garten;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;652,9;Botanischer Garten;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;5000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;500;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;5000;Wirtschaftswissenschaften;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;3000;Unterstützung Kongress;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;1000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;500;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Geldleistung;Spende;2500;Zuschuss Workshop;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;2799,28;Rektoramt Schllerbüste;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;2476,65;ThULB Pädagogische Fachliteratur;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;946,47;ThULB Juristische Fachlite- ratur;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;1007,78;ThULB Politik- wissenschaftliche Literatur;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;1284,4;ThULB Pädagogische Fachliteratur;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;1548;ThULB Bücher des 17.-19. JH;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;1000;ThULB Orientalische Münzen;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;7500;Herbarium Hausknecht Herbarium Material;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;2300;Herbarium Hausknecht Herbarium Material;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;2300;Herbarium Hausknecht Herbarium Material;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;651,28;ThULB Wirtschafts- wissenschaftliche Literatur;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;4612,53;ThULB Mathematische Fachliteratur;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2010;Anonym;Sachleistung;Spende;2850;Herbarium Hausknecht Herbarium Material;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;80000;Grabung Alten Gleisberg;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;4500;3-Hirn-Stip.;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;600;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;1800;Dtl.-Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;16200;Dtl.-Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;750;3-Hirn-Stip.;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;25920;Grad.-Stip. 3. Rate;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;5000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;Workshop Mitteldt. Univ.landschaft;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;1500;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;25920;Grad.-Stip. Photonics 2011 4. Rate;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;7250;Zuwendung 2011;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;2000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;1000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;3000;Arktisforschung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;1000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;800;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;50000;Jena Center;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;1500;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;70000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;Schülerlabor;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;2490;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;3000;Grabung Alten Gleisberg;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;Exkursion;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;Exkursion;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;800;Unterstützung Forschungsarbeiten Lehrstuhl;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;750;dvs-Tagung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;Pharmaball;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;1022,02;Botanischer Garten;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;Tria-Corda Vorlesung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;1900;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende;500;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);6000;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1000;Druckkostenzuschuss Summerschool;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);800;Honorare Referenten Summerschool;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);760;Thür. Werkstofftag 2011;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);36005,16;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);3000;Unterstützung Moot Court;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);6600;6. Symposium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);2013,25;nicht bekannt;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);43200;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);2000;Symp. 17./18.6.11;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);5000;Zuschuss intern. Konferenz;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);10000;Preisgeld 2011;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);7173,4;Unterstützung Moot Court;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1000;Zuwendung Grabstätte N.N.;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);14450;Stipendium N.N.;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);3000;Unterstützung Moot Court;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);2500;Unterstützung Moot Court;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);2000;Unterstützung Moot Court;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1000;Unterstützung Moot Court;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);610;ZKI-Herbsttagung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1500;Förderung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1070;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1070;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1070;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1070;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1070;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1070;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1070;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);600;Stipendium;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Spende/sonstige Schenkung/Zuwendungen (auch Projekte);1500;Mittel Publikation Sommerschool 2009;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;2000;Sommerfest;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;2000;Sommerfest;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;2000;Sommerfest;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;2000;Sommerfest;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;5000;Sommerfest;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;1000;Sommerfest;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;2000;Sommerfest;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;25000;Stella Ausstellung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;10000;Stella Ausstellung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;5000;Stella Ausstellung;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
Thüringen;Friedrich-Schiller-Universität Jena (ohne Klinikum);2011;Anonym;Geldleistung;Sponsoring;956,93;MiCom 2011;;http://www.thueringen.de/imperia/md/content/tim/tim/innenrevision/120917_sponsoring_bericht_web.pdf
