Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname;Quelle
Nordrhein-Westfalen;FH Dortmund;Angela Feuerstein;Vorsitzende;SMF KG, merkarion GmbH, Nicolai GmbH Dortmund;;http://www.fh-dortmund.de/de/hs/orgGrem/Hochschschulrat/Mitglieder_des_Hochschulrates.php
Nordrhein-Westfalen;FH Düsseldorf;Ina Kirchhof;Stellvertretende Vorsitzende;ERGO Versicherungsgruppe AG;;http://www.fh-duesseldorf.de/d_org/a_hsr
Nordrhein-Westfalen;FH Köln;Helmut Heinen;;Kölnische Rundschau;;https://www.fh-koeln.de/hochschule/hochschulrat_7768.php
Nordrhein-Westfalen;FH Köln;Simone Menne;;Lufthansa;;https://www.fh-koeln.de/hochschule/hochschulrat_7768.php
Nordrhein-Westfalen;FH Köln;Dieter Steinkamp;;RheinEnergie AG;;https://www.fh-koeln.de/hochschule/hochschulrat_7768.php
Nordrhein-Westfalen;FH Münster;Magdalena Münstermann;;Bernd Münstermann GmbH & Co. KG;;https://www.fh-muenster.de/hochschule/organisation/hochschulrat_mitglieder.php
Nordrhein-Westfalen;FH Südwestfalen;Peter Gasse;;Hüttenwerke Krupp Mannesmann;;http://www4.fh-swf.de/de/home/beschaeftigte/organisation_1/hochschulleitung/hochschulrat/index.php
Nordrhein-Westfalen;FH Südwestfalen;Dr. Johannes Kirchhoff;;FAUN Umwelttechnik GmbH & Co.KG;;http://www4.fh-swf.de/de/home/beschaeftigte/organisation_1/hochschulleitung/hochschulrat/index.php
Nordrhein-Westfalen;FH Südwestfalen;Horst-Werner Maier-Hunke -Vorsitzender-;;DURABLE Hunke & Jochheim GmbH & Co. KG;;http://www4.fh-swf.de/de/home/beschaeftigte/organisation_1/hochschulleitung/hochschulrat/index.php
Nordrhein-Westfalen;Fernuniversität Hagen;Manfred Scholle;;GELSENWASSER;;http://www.fernuni-hagen.de/universitaet/profil/leitung/hochschulrat.shtml
Nordrhein-Westfalen;FH Aachen;Stefanie Peters;;NEUMAN & ESSER;;http://www.fh-aachen.de/hochschule/hochschulrat/
Saarland;Universität des Saarlandes Saarbrücken in Saarbrücken;Prof. Dr.-Ing. Klaus Henning;;OSTO Systemberatung GmbH;;http://www.uni-saarland.de/info/universitaet/organisation/universitaetsrat/mitglieder.html
Saarland;Universität des Saarlandes Saarbrücken in Saarbrücken;Prof. Dr. Norbert Bannenberg;;Technischer Vorstand Dillinger Hüttenwerke AG;;http://www.uni-saarland.de/info/universitaet/organisation/universitaetsrat/mitglieder.html
Niedersachsen;Hochschule Emden/Leer (FH);Dr. Eckel;;TKMS Blohm + Voss Nordseewerke GmbH;;http://www.hs-emden-leer.de/hochschule/gremien/hochschulrat.html
