Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;Stiftungsprofessur für Umweltverfahrenstechnik;Stifterverband für die deutsche Wissenschaft;;;5 Jahre, vom Dezember 1989 bis zum Dezember 1994;;;
;;;Kraft Foods;;;;;;
;;;Beck's;;;;;;
;;;Masterfoods;;;;;;
;;;Frosta;;;;;;
;;;Basler Securitas;;;;;;
;;;Kellogg's;;;;;;
Rheinland-Pfalz;Universität Mainz;Johannes-Gutenberg-Stiftungsprofessur;Freunde der Universität Mainz e.V.;;;Seit 10 Jahren;;;
;;Stiftungsprofessur für Allgemeine Pastoraltheologie;Bischöfliches Ordinariat Mainz;;;;;;
;;Professur „Arithmetische Geometrie“;Deutsche Forschungsgemeinschaft;;;5 Jahre;;;
;;Juniorprofessur „Theoretische Physik kondensierter Materie“;Carl Zeiss;;;5 Jahre;;Carl-Zeiss-Stiftung;
;;Juniorprofessur Experimentelle Teilchen- und Astrophysik;Lichtenberg-Professur der VW-Stiftung;;;5 Jahre;;;
;;Biomineralogie;Deutsche Forschungsgemeinschaft;;;;;;
;;Zell- und Entwicklungsbiologie mit dem Schwerpunkt Signaltransduktion und Epigenetik;Boehringer Ingelheim;;;10 Jahre;;;
;;Molekularbiologie der Genomstabilität;Boehringer Ingelheim;;;10 Jahre;;;
;;Entwicklungsepigenetik;Boehringer Ingelheim;;;10 Jahre;;;
;UniversitÃ¤tsmedizin der Johannes Gutenberg-UniversitÃ¤t Mainz;Experimentelle Thrombose und Hämostase;Alexander von Humboldt Stiftung;;;5 Jahre;;;
;;Stiftungsprofessur für Experimentelle Hämastaseologie und Labormedizin;Deutsche Vereinte Gesellschaft für Klinische Chemie und Labormedizin;;;5 Jahre;;;
;;Stiftungsprofessur für Palliativmedizin;Deutsche Krebshilfe; ;;5 Jahre;;;
;;Metabolische Speichererkrankungen;Shire Deutschland GmbH;;;5 Jahre;;;
;Hochschule Ludwigshafen;Diversity in Sozialwissenschaften;H. Prof. Dr. jur. Carl-Heinrich Esser, Mannheim;300000;;3 Jahre;;;
;FH Mainz;Wirtschaftsprivatrecht, Gesellschaftsrecht, Konzern- und Umwandlungsrecht;Ernst & Young;;;6 Jahre;;;
;;;Deloitte & Touche;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
;;;KPMG;;;;;;
;;;PricewaterhouseCoopers;;;;;;
;;Wirtschaftsrecht, insbesondere Wirtschaftsprivatrecht;Ernst & Young;;;;;;
;;;Deloitte & Touche;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
;;;KPMG;;;;;;
;;;PricewaterhouseCoopers;;;;;;
;;Steuerrecht, insbesondere Verkehrssteuern;Ernst & Young;;;;;;
;;;Deloitte & Touche;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
;;;KPMG;;;;;;
;;;PricewaterhouseCoopers;;;;;;
;;Steuerrecht, insbesondere Ertragssteuern;Ernst & Young;;;;;;
;;;Deloitte & Touche;;;;;Deloitte & Touche GmbH Wirtschaftsprüfungsgesellschaft;
;;;KPMG;;;;;;
;;;PricewaterhouseCoopers;;;;;;
;TU Kaiserslautern;Mathematik, Finanzierung, Finanzierung;Deutsche Forschungsgemeinschaft;;;;;;
;;Computional Stochastics, Finanzierung;Fraunhofer-Gesellschaft;;;;;;
;;Statistik Räumlicher Strukturen, Finanzierung;Carl Zeiss;;;;;Carl-Zeiss-Stiftung;
;;Verfahrensentwicklung;BASF;;;;;;
;;Angewandte Theoretische Physik;Deutsche Forschungsgemeinschaft;;;;;;
;Universität Trier;HealthCare Management und Logistik;Thiel AG;;8338500;1.4 2003 bis 30.11.2017;;;
;;„Philosophie der Antike“;Trebuth-Stiftung;;1425000;1.4.2009 bis 31.3.2015;;;
;Universität Koblenz-Landau;Stiftungsprofessur für Technische Chemie und Korrosionswissenschaften;;;;;;;
;;Stiftungsprofessur für Demographieforschung;Energie Südwest AG;;;;;;
;;;Leadership- Kultur-Stiftung Landau;;;;;;
;;;Bürgerstiftung der Sparkasse Südliche Weinstraße;;;;;;
;;;Stifterverband für die Deutsche Wissenschaft;;;;;;
Mecklenburg-Vorpommern;Universität Greifswald;Gesundheit und Prävention;Stifterverband für die Deutsche Wissenschaft;;;;;;
;Universität Rostock;Windenergietechnik;Nordex SE;;;;;;
;;Wasserwirtschaft;Eurawasser;;;;;;
;;Herman-Schmitz-Professur für phänomenologische Philosophie;Dr. Johannes Werhahn;;;;;;
;;Lichtenberg-Professur für sensorische und kognitive Ökologie;Volkswagen;;;;;VW-Stiftung;
;;Uwe-Johnson-Stiftungsprofessur für neuere deutsche Literaturwissenschaft des 20. Jahrhunderts;Fries GmbH und Co. KG;;;;;;
;Hochschule für Musik und Theater, Rostock;Musikmanagement/Kultur-management;Stiftergemeinschaft, vertreten durch den Aufsichtsrat der Festspiele M-V;;;;;;
Hamburg;Universität Hamburg;Stiftungsprofessur IT-Management und -Consulting (ITMC);Generali;;125000;5 Jahre;Anfrage an Senatsverwaltung Hamburg;;
;;;NRS Norddeutsche Retail-Sevice AG (Haspa);25000;;;;;
;;;PPI AG;25000;;;;;
;;;Steria Mummert Consulting AG;25000;;;;;
;;;Deutsche Telekom;25000;;;;;
;;;Vattenfall;25000;;;;Vattenfall Europe Information Services GmbH;
;;;Capgemini Deutschland GmbH;5000;;;;;
;;;DAKOSY Datenkommunikationssystem AG;5000;;;;;
;;;Dataport;5000;;;;;
;;;DV-RATIO NORD GmbH;5000;;;;;
;;;Fortis IT-Services GmbH;5000;;;;;
;;;Hamburg Port Authority;5000;;;;;
;;;HPC Aktiengesellschaft;5000;;;;;
;;;itemis AG;5000;;;;;
;;;iteratec GmbH;5000;;;;;
;;;Lufthansa;5000;;;;;
;;;Kühne + Nagel (AG & Co.) KG;15000;;;;;
;;;vero projects - Kopsch Projektmanagement GmbH;5000;;;;;
;;;www Bitmanager AG;5000;;;;;
;;;IndiTango AG;15000;;;;;
;;;EDEKA ZENTRALE AG & Co. KG;25000;;;;;
;;;INFO AG;15000;;;;;
;;Rudolf-Augstein-Stiftungsprofessur für Praxis des Qualitätsjournalismus;Rudolf Augstein Stiftung;200000;1000000;5 Jahre;;;
