Land;Hochschule;Stiftungsprofessur;Stifter;Fördersumme pro Jahr;Fördersumme insgesamt;Laufzeit;Quelle;Alternativname;
;;;Die Lila Logistik AG Besigheim-Ottmarsheim;;;;;;
;;;Stifterverband für die Deutsche Wissenschaft;;;;;;
;;Leistungselektronik und Elektrische Antriebe;Thomas Gessmann-Stiftung Leingarten;;1150000;10 Jahre;;;
;Hochschule Karlsruhe (FH);Betriebswirtschaft und betriebliche Informationssysteme;Dietmar-Hopp-Stiftung;;750000;10 Jahre;;;
;;Kälte-, Klima- und Umwelttechnik mit dem Schwerpunkt Energieeffizienz;Steinbeis-Stiftung für Wirtschaftsförderung;;550000;5 Jahre;;;
;Hochschule Konstanz (HTWG);Optimale Entwicklung, Herstellung und Verwendung mechatronischer Geräte und Produkte;Firma ETO MAGNETIC KG;;330000;5 Jahre;;;
;;Elektrische Antriebstechnik für Fahrzeuge;ZF Friedrichshafen;;600000;5 Jahre;;;
;;Datensicherheit in cloudbasierten Systemen und IT-Forensik;Auerbach Stiftung Nürnberg;;1620000;10 Jahre;;;
;Hochschule Mannheim (FH);Weiterentwicklung der intravitalen Mikroskopie;Klinikum Mannheim;;950000;10 Jahre;;;
;Hochschule fÃ¼r Wirtschaft und Umwelt NÃ¼rtingen;Lehrbereich Immobilienwirtschaft insbesondere DV-gestützte Informationssysteme im Rahmen des SG Immobilienwirtschaft am Standort Geislingen/Steige;BauConsult DV- und Unternehmensberatung Stuttgart GmbH;;610000;10 Jahre;;;
;;Betriebswirtschaftslehre für den Bereich Automobilwirtschaft, insb. Automobilhandel;Santander Bank;;550000;11 Jahre;;;
;;Unternehmenskommunikation;Alb-Elektrizitätswerk Geislingen eG;;350000;10 Jahre;;;
;;Forensisches Sachverständigenwesen;Gundolf Beier Stiftung;;450000;10 Jahre;;;
;;Online-Marketing;Fa. Sommer Corporate Media - Elanders GmbH;;230000;5 Jahre;;;
;Hochschule Offenburg;"Transportlogistik, insbesondere nationaler und internationaler Logistik-Dienstleistungsunternehmen; innerbetriebliche Logistik und Supply-Chain-Management von Unternehmen der Industrie und des Handels";Georg und Maria Dietrich Logistik-Stiftung Offenburg;;500000;10 (7?);;;
;;Energiesystemtechnik;EnBW;;700000;8 Jahre;;;
;;Material Engineering;Unternehmenskonsortium von elf Unternehmen aus der Region Ortenau und dem Verein der Freunde und Förderer der HS Offenburg e.V.;;430000;5 Jahre;;;
;;Biomedizinische Technik;Peter-Osypka-Stiftung Grenzach;;700000;8 Jahre;;;
;;Direct Marketing und E-Commerce;Herr Hans R. Schmid;;700000;8 Jahre;;;
;Hochschule Pforzheim;Stanztechnik;Härter Stanztechnik GmbH;;750000;10 Jahre;;;
;;;Kramski GmbH ;;;;;;
;;;Kummer GmbH;;;;;;
;;;Sparkasse Pforzheim Calw;;;;;;
;;;Bruderer GmbH;;;;;;
;;Mechatronik;IHK Nordschwarzwald;;450000;5 Jahre;;;
;;Unternehmensbesteuerung und Steuerbilanzrecht;Ernst & Young;;540000;6 Jahre;;;
;;Automatisierungstechnik;IHK-Nordschwarzwald;;540000;6 Jahre;;;
;FH Ravensburg-Weingarten;3D-Kameratechnik / Machine Vision;ifm electronic GmbH Essen;;1250000;10 Jahre;;;
;;Theorie und Praxis der klinischen Pflege;Zentrum für Psychiatrie (ZfP);;1000000;10 Jahre;;;
;;;ADK GmbH für Gesundheit und Soziales;;;;;;
;;;Oberschwabenklinik GmbH;;;;;;
;;;Klinikum Friedrichshafen GmbH;;;;;;
;;;Waldburg-Zeil Kliniken GmbH & Co. KG;;;;;;
;;Design mechatronischer Systeme in der Fahrzeugtechnik;ZF Friedrichshafen;;600000;5 Jahre;;;
;Hochschule Reutlingen;Internationaler Handel und E-Commerce;Dieter-Schwarz-Stiftung;;1020000;10 Jahre;;;
;;Elektrotechnik 1;Bosch;;1100000;10 Jahre;;;
;;Elektrotechnik 2;Bosch;;1100000;10 Jahre;;;
;;Logistik;Firma Betz;;900000;10 Jahre;;;
;FH Stuttgart, H der Medien;Konstruktion und Gesamtherstellung von graphischen Produkten;Adolf I. Döpfert-Stiftung Ludwigsburg;;620000;10 Jahre;;;
;Hochschule Ulm;Energiedatenmanagement dezentraler und (regenerativer) erneuerbare Energieversorgungssysteme;Solarstiftung Ulm/Neu-Ulm, Ulm;;350000;5 Jahre;;;
;;Modellbasierte Systementwicklung;Industrie- und Handelskammer Ulm;;500000;5 Jahre;;;
;;;EADS;;;;;;
;Duale Hochschule Baden Württemberg;Business Administration;Voith GmbH;;96400;5 Jahre;;;
;;Distributionslogistik und Warenwirtschaft;Dieter-Schwarz-Stiftung;;102300;10 Jahre;;;
;;"Professur für Lehraufgaben mit der Vertiefung ""Handel und Führung""";Dieter-Schwarz-Stiftung;;105000;10 Jahre;;;
;;Professur für Lehraufgaben im Studiengang Verfahrens-/ Energieverfahrenstechnik;EnBW;;100000;10 Jahre;;;
;;"Professur für Lehraufgaben mit dem Schwerpunkt ""Investitionsgüter Marketing"" im Studiengang BWL-International Business";"Stifterverband ""Pro Berufsakademie Mosbach""";;90000;10 Jahre;;;
;;Professur für Lehraufaufgaben im Studiengang Maschinenbau Fahrzeug-System-Engineering, insbes. Antriebstechnik;ZF Friedrichshafen;;550000;5 Jahre;;;
;;"Professur für Lehraufgaben mit der Vertiefung ""Interkulturelle Sozialarbeit, Gesundheitswissenschaften, sozialwissenschaftliche Grundlagen""";Michael-Balint-Klinik Königsfeld;;235000;5 Jahre;;;
Sachsen;TU Dresden (ohne Klinikum);Tiermodelle der Regeneration;Deutsche Forschungsgemeinschaft;;;01.02.2008-31.12.2017;;;
;;Mobile Nachrichtensysteme;Vodafone D2 GmbH;;;"01.09.1994-31.08.2015
";;;
;;Kälte-, Kryo- und Kompressoren- technik;Bitzer Kühlmaschinenbau GmbH Sindelfingen;;;01.04.2010-31.03.2015;;;
;;Öffentliches Recht, insbesondere Staatsrecht und Staatswissenschaften;CD-Stiftung (Carl Deichmann);;;01.08.2009-31.07.2014;;;
;;Biomimetische Materialien;Förderung im Rahmen des gleichnamigen Forschungsprojekts durch  SMWK;;;01.08.2011-31.07.2016;;;
;;"BioNano-Werkzeuge (Heisenberg-
Professur";Deutsche Forschungsgemeinschaft;;;01.10.2010-30.09.2015;;;
;;"Systembiologie und Genetik
(Heisenberg-Professur)";Deutsche Forschungsgemeinschaft;;;2012-2017;;;
;;Organic Devices;75 % Bund, 25 % Land (Bewilligung Exzellenzcluster „cfaed – Center for Advancing Elektronics Dresden”);;;Ab 2013 für mindestens 5 Jahre;;;
;;Organic and Polymer Materials;75 % Bund, 25 % Land (Bewilligung Exzellenzcluster „cfaed – Center for Advancing Elektronics Dresden”);;;Ab 2013 für mindestens 5 Jahre;;;
;;Professor Design;75 % Bund, 25 % Land (Bewilligung Exzellenzcluster „cfaed – Center for Advancing Elektronics Dresden”);;;Ab 2013 für mindestens 5 Jahre;;;
;;Compiler Construction;75 % Bund, 25 % Land (Bewilligung Exzellenzcluster „cfaed – Center for Advancing Elektronics Dresden”);;;Ab 2013 für mindestens 5 Jahre;;;
;;Adaptive Networks;75 % Bund, 25 % Land (Bewilligung Exzellenzcluster „cfaed – Center for Advancing Elektronics Dresden”);;;Ab 2013 für mindestens 5 Jahre;;;
;;RNA-Biology (im Rahmen des Dresden concept);Max-Planck-Institut für Molekulare Zellbiologie und Genetik;;;unbefristet;;;
;;Developmental Cell Biology;Max-Planck-Institut für Molekulare Zellbiologie und Genetik;;;unbefristet;;;
;;Behaviorale Epidemiologie;BMBF;;;2012-2018;;;
;;Innovationsmanagement und En-drepreneurship;Stifterverband für die Deutsche Wissenschaft;;;01.01.2006-28.02.2014;;;
;;Laserstrukturierung von Oberflächen;Fraunhofer-Gesellschaft;;;01.07.2012-30.06.2016;;;
;;Werkstoffprüfung und –charakterisierung;Fraunhofer-Gesellschaft;;;unbefristet;;;
;;Kommunikationswissenschaft mit  dem Schwerpunkt Emerging Communications and Media;Sächsisches Druck- und Verlagshaus AG – Die Medien AG;;;"01.02.2011-31.01.2015
";;;
;;Circuits for Energy Efficiency;75 % Bund, 25 % Land (Bewilligung Exzellenzcluster „cfaed – Center for Advancing Elektronics Dresden”);;;"2013-2018
";;;
;;Nanomaterials for Packaging;Fraunhofer-Gesellschaft;;;Noch nicht bekannt!;;;
;TU Dresden (Klinikum);Transfusionsmedizin;DRK Blutspendedienst Ost GmbH;;;"unbefristet
";;;
;;Genomics of Regeneration;Deutsche Forschungsgemeinschaft;;;01.05.2007-31.12.2017;;;
;;Präklinische Stammzelltherapie;Deutsche Forschungsgemeinschaft;;;01.05.2007-31.12.2017;;;
;;"Prävention und Versorgung des Diabetes
";Sanofi Aventis;;;01.04.2009-31.03.2014;;;
;;"Regenerative Therapien des Diabetes (Hans-Hagedorn-Stif-
tungsprofessur)
";Novo Nordisk Pharma;;;01.04.2009-31.03.2014;;;
;;Diabetes und Niere;European Nephrology and Dialysis Institue;;;01.04.2010-31.03.2015;;;
;;Biomarker für die individualisierte Radioonkologie;BMBF;;;01.10.2011-30.09.2016;;;
;;Molekulare Pädiatrie;Deutsche Forschungsgemeinschaft;;;01.11.2011-31.10.2013;;;
;;"Klinische Tumorepidemiologie
und Ergebnisforschung";Deutsche Krebshilfe;;;01.03.2010-31.01.2015;;;
;;Translationale klinische For- schung im Bereich Hämatologie;Noch nicht bekannt!;;;Noch nicht bekannt!;;;
;;Extrakorporale Verfahren und  Lipidapherese;Noch nicht bekannt!;;;Noch nicht bekannt!;;;
;Universität Leipzig (ohne Klinikum);Energiemanagement und Nachhaltigkeit;Wittenberg-Zentrum für Globale Ethik e.V.;;;01.09.2008-31.08.2013;;;
;;;Vattenfall;;;;;Vattenfall Europe AG;
;;;Stifterverband für die Deutsche Wissenschaft;;;;;;
;;"Entwicklungsbiologie, Schwerpkt.
Endogene Gewebs- und Organ-
entwicklung und Regeneration";BMBF;;;01.04.2010-31.03.2015;;;
;;Alexander-von-Humboldt-Professur – Internationaler Preis für Forschung in Deutschland;Alexander von Humboldt Stiftung;;;"2012-2017
";;;
;;Evolution und Adaption (am Forschungsinstitut für Integrative Biodiversitätsforschung);Deutsche Forschungsgemeinschaft;;;2012-2016;;;
;;"Experimentelle Interaktionsökologie
(am Forschungsinstitut für Inte-
grative Biodiversitätsforschung)";Deutsche Forschungsgemeinschaft;;;"2012-2016
";;;
;;Byzantinische und neugriechische Philologie;Ministerium für Erziehung und Religionen und Außenministerium von Griechenland;;;unbefristet;;;
;;"Wechselwirkung von Oberflächen
mit biologischen Zellen und Geweben";BMBF;;;"01.05.2009-30.04.2015
";;;
;;"Multifunktionale Konstruktions-
werkstoffe";Unternehmerverband Sachsen e. V.;;;"01.11.2011-31.10.2016
";;;
;;Wirtschaftsinformatik, insbeson- dere Informationssysteme in der Logistik (Juniorprof.);Konsortium (sechs Firmen);;;"01.04.2012-31.03.2017
";;;
;Universität Leipzig (Klinikum);Klinische Onkologie;Universitätsklinikum Lzg.;;;2013-2018;;;
;;Experimentelle und Klinische Adipositasfprschung;BMBF;;;2013-2018;;;
;;Heisenberg-Professur für Neuro-physiologie;Deutsche Forschungsgemeinschaft;;;Noch nicht bekannt!;;;
;;Medizinische und Zelluläre Immunologie;BMBF;;;Noch nicht bekannt!;;;
;;Kinderherzchirurgie;Herzzentrum Leipzig GmbH;;;01.10.2000-30.09.2014;;;
;;Neurologie (Neurologische Reha-bilitation motorischer Störungen);Michels-Kliniken Bennewitz;;;Unbefristet;;;
;;Präventive/Regenerative Kardio-logie;Herzzentrum Leipzig GmbH;;;01.10.2009-30.09.2014;;;
;;Experimentelle und klinische Thorakale Organtransplantation im Bereich Herzchirurgie;Stifterverband für die Deutsche Wissenschaft;;;01.09.2008-31.08.2013;;;
;;Claussen-Simon-Stiftungspro- fessur für Neurobiologie affektiver Störungen;Claussen-Simon-Stiftung;;;01.04.2009-31.03.2015;;;
;;Allgemeine Pädiatrie/Pädiatrische Forschung;Fresenius Medical Care;;;01.02.2010-31.01.2016;;Else Kröner-Fresenius-Stiftung;
;;;Deutsche Diabetes Stiftung;;;;;;
;;Bariatrische Chirurgie;Universitätsklinikum Lzg.;;;1512.2010-14.12.2015;;;
;;Molekulare Neurobildgebung der Adipositas;BMBF;;;01.07.2011-30.06.2016;;;
;;Endokrinologie der Adipositas;BMBF;;;01.06.2011-31.05.2016;;;
;;Ernährungspsychologie/Verhal-tensmedizin;BMBF;;;01.09.2011-30.04.2015;;;
;;Experimentelle und Klinische Adipositasforschung;BMBF;;;Noch nicht bekannt!;;;
;;Herzkreislaufforschung und Inno-vationstransfer;Leipziger Stiftung für Innovation und Technologietransfer;;;Noch nicht bekannt!;;;
;;Pädiatrische Klinische Genetik;Universitätsklinikum Lzg.;;;2012-2017;;;
;;Gefäßchirurgie;Universitätsklinikum Lzg.;;;2012-2017;;;
;;Regeneration der Wirbelsäule;BMBF;;;Noch nicht bekannt!;;;
;;Transfusionsmedizin;Universitätsklinikum Lzg.;;;Noch nicht bekannt!;;;
;;Genomik von Vorhofflimmern;Volkswagen;;;30.08.2011-29.08.2014;;VW-Stiftung;
;;;Stifterverband für die Deutsche Wissenschaft – Fritz und Hildegard Berg-Stiftung;;;01.02.2009-31.01.2015;;;
;TU Bergakademie Freiberg;Numerische Thermofluiddynamik;BMBF;;;01.03.2010-31.10.2014;;;
;Hochschule für Technik, Wirtschaft und Kultur Leipzig;Monitoring und Diagnostik in der elektrischen Energietechnik;Energie und Umwelt Stiftung Leipzig;;;01.09.2012-31.08.2013;;;
;;Simulation und Ergonomie in der operativen Medizin;Leipziger Stiftung für Innovation und Technologietransfer;;;23.12.2011-22.12.2016;;;
;Hochschule Zittau/Görlitz (FH);Reaktor- und Anlagensicherheit;Vattenfall;;;01.10.2006-30.09.2016;;Vattenfall Europe Nuclear Energy GmbH;
;WestsÃ¤chsische Hochschule Zwickau;Kfz.-Technik/Motorsport Engineering;ADAC Sachsen e. V.;;;01.09.2011-31.08.2016;;;
;Hochschule Mittweida (University of Applied Sciences);Hochrate Laserbearbeitung;Konsortium (15 Einzelfirmen);;;01.07.2011-30.06.2016;;;
;Hochschule für Musik und Theater Leipzig;Streicherkammermusik;BMBF;;;2012-2016;;;
;Hochschule fÃ¼r Grafik und Buchkunst Leipzig;Kulturen des Kuratorischen;Stifterverband für die Deutsche Wissenschaft;;;01.06.2009-31.05.2014;;;
;;;Deutscher Sparkassen- und Giroverband Berlin;;;;;;
Schleswig-Holstein;;;;;;;;;
;;;;;;;;;
Hessen;Universität Frankfurt a.M. (ohne Klinikum);Stiftungsprofessur für Geld-, Währungs- und Notenbankrecht;"Stiftung ""Geld und Währung"" beim Stifterverband";;;;http://www2.uni-frankfurt.de/44953572/stiftungsprofessuren;;
;;Dresdner Bank Stiftungsprofessur für Wirtschaftsrecht/Law & Finace;Dresdner Bank Stiftungsfonds „Horizonte“ beim Stifterverband;;;;;;
;;Deutsche Telekom Stiftungsprofessur für BWL, insb. Mobile Business und Multilateral Security;Deutsche Telekom;;;;;Deutsche Telekom AG;
;;Stiftungsprofessur für Finanzen und Ökonomie;"Stiftung  ""Geld und Währung"" beim Stifterverband";;;;;;
;;Sitftungsprofessur für Volkswirtschaftslehre, insbes. Monetäre Ökonomie;"Stiftung ""Geld und Währung"" beim Stifterverband";;;;;;
;;House of Finance Stiftungslehrstuhl für Finance and Accounting - gefördert durch die Helaba;Helaba;;;;;;
;;House of Finance Stiftungslehrstuhl für Retail Banking - gefördert durch die DZ Bank Stiftung;DZ Bank;;;;;DZ Bank Stiftung;
;;Detlef-Hübner-Stiftungsprofessur für Betriebswirtschaftslehre, insb. IT-basierte Logistik;Detlef Hübner Stiftung, Hofheim, Wallau;;;;;;
;;House of Finance Stiftungsprofessur für Sustainable Banking and Finance;DekaBank;;;;;;
;;UBS Stiftungsprofessur für Betriebswirtschaftslehre, insb. Management;UBS Deutschland AG;;;;;;
;;UBS Stiftungsprofessur für Finance, insb. Asset Pricing;UBS Deutschland AG;;;;;;
;;Messe Frankfurt-Stiftungsprofessur für Internationale Wirtschaftspolitik;Messe Frankfurt;;;;;;
;;Stiftungsprofessur für Versicherungswesen, Versicherungsaufsicht und Versicherungsregulierung;Gesamtverband der Deutschen Versicherungswirtschaft e. V.;;;;;;
;;Stiftungsjuniorprofessur für E-Finance & Services Science;E-Finance Lab e.V;;;;;;
;;EUREX Juniorprofessur für Derivate - Assistant Professorship in Derivatives;Eurex Frankfurt AG;;;;;;
;;Stiftungsprofessur für Interdisziplinäre Alternswissenschaft;BHF-Bank-Stiftung;;;;;;
;;W2-Stiftungsprofessur für Islamische Religion;Anstalt für Religion Diyanet, Türkei;;;;;;
;;Stiftungsprofessur für Mobilitätsforschung;Rhein-Main-Verkehrsverbund GMBH;;;;;;
;;Goethe-Leibniz-Oerlikon-Nachwuchsprofessur für Terahertz-Photonik;Oerlikon;;;;;;
;;Stiftungsprofessur für Anorganische und Analytische Chemie;City Solar AG;;;;;;
;;Stiftungsprofessur für Biotechnologie;Merck Group;;;;;;
;;Stiftungsprofessur für Bienenkunde;Polytechnische Gesellschaft Frankfurt am Main;;;;;;
;Universität Frankfurt a.M. (Klinikum);Stiftungsprofessur für prädiktive molekulare Marker in der gastroenterologischen Onkologie und Hepatologie;Roche;;;;;;
;;Hertie-Stiftungslehrstuhl für Neuroonkologie;Hertie-Stiftung;;;;;;
;;Deutsche José Carreras Leukämie-Stiftungsprofessur;Deutsche José Carreras Leukämie-Stiftung e.V.;;;;;;
;;Stiftungsprofessur für regenerative Medizin;Stiftung Friedrichsheim;;;;;;
;;Kerckhoff-Klinikprofessur Kardiologie;Stiftung William G. Kerckhoff Herz- und Rheumazentrum Bad Nauheim;;;;;;
;;Stiftungsprofessur Interdisziplinäre Onkologie;Stiftung Hospital zum heiligen Geist;;;;;;
;;Stiftungsprofessur für experimentelle pädiatrische Onkologie und Hämatologie;Frankfurter Stiftung für krebskranke Kinder;;;;;;
;;Johanna Quandt-Forschungsprofessur im Bereich der Grundlagenforschung der Lebenswissenschaften;Johanna Quandt;;;;;;
;Universität Kassel; Wirtschafts- und Unternehmensethik;Plansecur-Stiftung;;;1. 9. 2010 bis 31. 8. 2013;;;
;;Kommunikations- und Medienmanagement;Siegfried Vögele Institut - Internationale Gesellschaft für Dialogmarketing GmbH (SVI);;;1. 3. 2006 bis 29. 2. 2016;;;
;;Internationales Direktmarketing;Siegfried Vögele Institut - Internationale Gesellschaft für Dialogmarketing GmbH (SVI);;;1. 4. 2006 bis 31. 3. 2016;;;
;;Personal- und Changemanagement;B. Braun Melsungen AG;;;1. 5. 2009 bis 30. 4. 2014;;;
;;;Kasseler Bank eG;;;;;;
;;;Verlag Dierichs GmbH & Co. KG;;;;;;
;;;RSE Planungsgesellschaft mbH;;;;;;
;;;Technoform Caprano;;;;;;
;;;Brunnhofer GmbH & Co. KG;;;;;;
;;;Kali und Salz AG;;;;;;
;;Werk und Wirkung der Brüder Grimm;Günther Cramer, Hübner GmbH;;;2. 2. 2012 bis 1. 2. 2018;;;
;;;Städtische Werke AG;;;;;;
;;;Glinicke GmbH;;;;;;
;;;Technoform Caprano;;;;;;
;;;Brunnhofer GmbH & Co. KG;;;;;;
;;;Strecker, Berger + Partner;;;;;;
;;;Hospitality Alliance AG;;;;;;
;;;Bärenreiter Verlag;;;;;;
;;;Angelika Bergmann;;;;;;
;;;Christiane Pietzcker;;;;;;
;;;Rohde Tief- u. Straßenbau GmbH;;;;;;
;;;B.Braun Melsungen AG;;;;;;
;;;Von Waitzische Beteiligungen GmbH;;;;;;
;;;Verlag Dierichs GmbH & Co. KG;;;;;;
;;;Creditreform Kassel Dr. Schlegel GmbH;;;;;;
;h_da - Hochschule Darmstadt (FH);Gebäudesanierung – Schwerpunkt Gebäudeausbau und Gebäudegestaltung;Caparol-Gruppe, Knauf Gips KG;140.000 Euro;;Seit 2008, für Jahre  ;;;
;TU Darmstadt;Angewandte Geothermie im Fachbereich Material- und Geowissenschaften;NATURpur Institut für Klima- und Umweltschutz:;;;http://www.tu-darmstadt.de/vorbeischauen/publikationen/fortschrittsbericht/index_3456.de.jsp;;;
;;Bahnsysteme und Bahntechnik;Deutsche Bahn;;;;;Deutsche Bahn Regio;
;;Lichttechnik;Audi;;;;;;
;;;Zizala Lichtsysteme;;;;;;
;;;Valeo Eclairage Signalisation;;;;;;
;;;Philips;;;;;;
;;;Osram;;;;;;
;;;Opel;;;;;;
;;;Odelo;;;;;;
;;;Automotive Lighting;;;;;;
;;;BMW;;;;;;
;;;Daimler;;;;;;
;;;Koito Manufacturing;;;;;;
;;;Hella;;;;;;
;;IT-Sicherheit mit dem Schwerpunkt Security Engineering;Horst Görtz Stiftung;;;;;;
;;Cluster- und Wertschöpfungsmanagement;Hessen Metall;;;;;;
;;Mode und Ästhetik;Wella Stiftung;;;;;;
;;Wissenschaft und Technik für Frieden und Sicherheit;Deutsche Stiftung Friedensforschung;;;;;;
;;;Berghof-Stiftung für Konfliktforschung;;;;;;
;;BWL Multimodalität und Technik;Deutsche Bahn;;;;;Deutsche Bahn Mobility Logistics AG;
;;BWL Logistikplanung und Informationssysteme;Deutsche Bahn;;;;;Deutsche Bahn Mobility Logistics AG;
;;Entwerfen und Nachhaltiges Bauen;Goldbeck-Stiftung;;;;;;
;;BWL Industrielles Management;Carlo und Karin Giersch-Stiftung;;;;;;
;;Informatik;Deutsche Forschungsgemeinschaft;;;;;;
;Hochschule für Gestaltung Offenbach;Interactive Design/Motions Design;Heinz und Gisela Friederichs Stiftung;;;Seit 2001;;;
;;Kreativität im urbanen Kontext;Stadt Offenbach/Wirtschaftsförderung;;;01.10.2010 bis 30.09.2014;;;
;;;Dr. Marschner Stiftung;;;;;;
;;;Stadtwerke Offenbach Holding GmbH;;;;;;
;;;Projekt Hafen Offenbach;;;;;;
;;;IHK Offenbach Wirtschaftsinitiative Rhein Main;;;;;;
;;;Energieversorgung Offenbach AG ;;;;;;
;;;Mainova AG;;;;;;
;Universität Gießen;Allgemeine Psychologie;Deutsche Forschungsgemeinschaft;;;01.10.2011 – 30.09.2016;;;
;;Experimentelle Plasmadiagnostik;LOEWE;;;01.04.2013 – derzeit 31.12.2014;;;
;;Plasma- u. Raumfahrtphysik;LOEWE;;;01.06.2013 – derzeit 31.12.2014;;;
;;Rastertunnelmikroskope;LOEWE;;;01.04.2013 – 30.06.2014;;;
;;Schwerionenphysik;GSI;;;01.06.2012 – dauerhaft;;;
;;Theoretische Physik;GSI;;;01.09.2007 – 30.09.2015;;;
;;Experimentelle Kernstrukturphysik;GSI;;;01.12.2007 – dauerhaft;;;
;;Verhaltensökologie und Ökophysiologie der Tiere;Deutsche Forschungsgemeinschaft;;;01.06.2012 – 31.05.2017;;;
;;Thermoelektrische Materialien;Deutsches Zentrum für Luft- und Raumfahrt;;;05.09.2012 – dauerhaft;;;
;;Lung Matrix Remodeling;Deutsche Forschungsgemeinschaft;;;01.01.2010 – 31.10.2017;;;
;;Molecular Mechanisms of Emphysema, Hypoxia and Lung Aging;Deutsche Forschungsgemeinschaft;;;01.10.2007 – 31.10.2017;;;
;;Pulmonary Pharmacotherapy;LOEWE-UGMLC;;;01.08.2011 – 31.07.2014;;;
;;Molekulare Andrologie;Deutsche Forschungsgemeinschaft;;;01.01.2010 – dauerhaft;;;
;;Internistische Rheumatologie, Osteologie und Physikalische Medizin;Kerckhoff-Stiftung;;;01.03.2011 – dauerhaft;;;
;;Pulmonary Vascular Research;Pfizer;;;01.03.2010 – 28.02.2015;;;
;;Innere Medizin mit dem Schwerpunkt Rheumatologie;Kerckhoff-Stiftung;;;01.01.2005 – dauerhaft;;;
;Universität Marburg;Psychologie;Volkswagen;;;fünf Jahre plus drei Jahre Auslauffinanzierung;;VW-Stiftung;
;;Biologie;Bosch;;;5 Jahre;;Robert-Bosch-Stiftung;
;;Medizin;Deutsche Krebshilfe;;;;;;
;;experimentelle orofaciale Medizin;Fa. Haraeus-Kulzer-GmbH;;;;;;
;;Medizin;Dr. Reinfried-Pohl-Stiftung;;;;;;
;;Psychotherapieforschung;;;;5 Jahre;;;
;;Forschungsprofessur Sprachwissenschaft;Deutsche Akademie der Wissenschaften und Literatur;;;16 Jahre;;;
Niedersachsen;TU Braunschweig;Bauwerksunterhaltung und Tragwerk;Salzgitter AG;;;01.06. 2003 – 31.3.2013;Stand: 2011, Anfrage im Landtag;;
;;Nachhaltige Chemie und Energieforschung;Volkswagen;;;01.11.2008-31.10.2013;;;
;;;Verband der deutschen Biokraftstoffindustrie;;;;;;
;TU Clausthal;Geothermale Energiesysteme;EWE AG;;;1.10.2011-30.09.2016;;;
;;Erdöl- und Erdgas-Lagerstättentechnologie;WEG Wirtschaftsverband Erdöl- und Erdgasgewinnung;;;1.1.2009-31-12-2015;;;
;;Gasversorgungssysteme;VNG Verbundnetze Gas AG;;;1.10.2010-31.12.2014/2012;;;
;;;E.ON;;;;;;
;;;RWE;;;;;;
;;Endlagersysteme;GNS Gesellschaft für Nuklear-Sicherheit mbH;;;01.07.2007-30.06.2014;;;
;;Bindemittel und Baustoffe;Bundesverband der deutschen Kalkindustrie;;;01.06.1997-30.09.2020;;;
;Universität Hannover;Versicherungs- und Finanzmathematik;Hannoversche Versicherungsunternehmen;;;01.07.2009-30.06.2019;;;
;;Versicherungs- und Finanzmathematik;Hannoversche Versicherungsunternehmen;;;01.07.2009-30.06.2019;;;
;;Leibniz-Stiftungsprofessur Philosophische Fakultät;Carsten Maschmeyer;;;01.07.2010-30.06.2015;;;
;Medizinische Hochschule Hannover;Klinische Chemie;Deutsche Gesellschaft für Klinische Chemie und Laboratoriumsmedizin;;;01.01.2007-31.12.2014;;;
;;Proteasen-/Antiproteasensysteme in der Lunge;Talecris Biotherapeutics GmbH;;;01.01.2009-01.10.2011;;;
;;Biologie des Bewegungsapparates;Traumastiftung;;;01.10.2009-31.12.2011, unter Vorbehalt bis 2014;;;
;;Experimentelle Neonatologie;Dr. August und Erika Appenrodt-Stiftung;;;01.03.2011-28.02.2016;;;
;Universität Oldenburg;Medizinische Strahlenphysik;Pius-Hospital Oldenburg;;;16.12.2010-31.03.2039;;;
;;Ökonomische Bildung / Institut für ökonomische Bildung;Der kleine Kreis;;;01.07.2008-30.06.2013;;;
;;;Nord-West-Metall;;;;;;
;;;OLB-Stiftung;;;;;;
;;;Vierol AG;;;;;;
;;Windenergiesysteme;EWE AG;;;01.04.2010-31-03-2020;;;
;;Slavistische Literaturwissenschaft;Stifterverband;;;01.10.2007-30.06.2013;;;
;Universität Osnabrück;Verteilte Systeme;Harting;;;2012-2017;;;
;;;Stifterverband für die Wissenschaft;;;;;;
;;;Espelkamp;;;;;;
;;Unternehmensführung und Unternehmensrechnung;Hinrich W. Risken;;;2008-2013;;;
;;Archäologie der Römischen Provinzen;Varus Gesellschaft;;;2010-2016;;;
;Universität Vechta;Philosophische und theologische Grundlagen sozialen Handelns;Römisch-katholische Kirche im Oldenburger Teil des Bistums Münster;;;2006-2016;;;
;Hochschule Ostfalia (Braunschweig/WolfenbÃ¼ttel) (FH);Fahrzeug-Service und Kundenbetreuung;Volkswagen;;;01.09.2008-31.08.2013;;VW AG;
;;Entrepreneurship und Unternehmensgründung;Nord LB;;;01.03.2009-28.02.2014;;;
;Hochschule Hannover (FH);Abfülltechnologie und -logistik;SIG Combibloc GmbH;;;01.12.2008-31.12.2011;;;
;Hochschule Hildesheim/Holzminden/Göttingen (FH);Familienunternehmen;Löseke-Stiftung;;;01.09.2005-30.04.2012;;;
;;Gebäudetechnik;Stiebel Eltron;;;01.09.2010-31.08.2017;;;
;Hochschule Emden/Leer (FH);Betriebswirtschaftslehre;Reedereigemeinschaft Ems-Achse GmbH & Co KG;;;2005-31.12.2018;;;
