Bundesland;Uni;Name;Unternehmen;Branche;FIELD6;Funktion;Alternativname;Quelle
Bayern;Universität Bayreuth;Stephanie Czerny;DLD Media GmbH;Verlag;;;;https://www.uni-bayreuth.de/de/universitaet/organisation/index.html
Bayern;Universität Erlangen-Nürnberg;Roland Auschel;Adidas;Konsumgüter;;;;https://www.fau.de/fau/leitung-und-gremien/universitaetsrat/#collapse_0
Bayern;Universität Erlangen-Nürnberg;Walter Bockshecker;Nürnberger Versicherungsgruppe;Versicherung;;;;https://www.fau.de/fau/leitung-und-gremien/universitaetsrat/#collapse_0
Bayern;Universität Erlangen-Nürnberg;Dr. rer. nat. Roland Busch;Siemens;;;;;https://www.fau.de/fau/leitung-und-gremien/universitaetsrat/#collapse_0
Bayern;Universität Passau;Simone Tucci-Diekmann;Neue Presse Verlags-GmbH;Medien;;;;https://www.uni-passau.de/universitaet/leitung-und-gremien/universitaetsrat/
Bayern;Universität Passau;Dr. Natascha Eckert;Siemens AG;;;;;https://www.uni-passau.de/universitaet/leitung-und-gremien/universitaetsrat/
Bayern;Universität Passau;Dr. Klaus Geißdörfer;ZF Passau GmbH;Maschinenbau;;;;https://www.uni-passau.de/universitaet/leitung-und-gremien/universitaetsrat/
Bayern;Universität Regensburg (ohne Klinikum);Max Binder;E.ON ;Energie;;Vorsitzender;;https://www.uni-regensburg.de/universitaet/gremien/universitaetsrat/index.html
Bayern;Universität Regensburg (ohne Klinikum);Thierry Tricot;Schneider Electric Sachsenwerk GmbH;;;;;https://www.uni-regensburg.de/universitaet/gremien/universitaetsrat/index.html
Bayern;Universität Würzburg (ohne Klinikum);Dr.-Ing. Thomas Leicht;Brose Gruppe;Automobil;;;;https://www.uni-wuerzburg.de/universitaet/gremien/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Caroline Trips;Trips GmbH;;;;;https://www.uni-wuerzburg.de/universitaet/gremien/universitaetsrat/
Bayern;Universität Würzburg (ohne Klinikum);Dr.-Ing. E.h. Manfred Wittenstein;Wittenstein SE;Maschinenbau;;;;https://www.uni-wuerzburg.de/universitaet/gremien/universitaetsrat/
Berlin;FU Berlin;Dr. Johannes Evers;Landesbank Berlin AG;Finanzwirtschaft;;;;https://www.fu-berlin.de/einrichtungen/organe/gremien-kommissionen/kuratorium/index.html
Berlin;TU Berlin;Dr. Tanja Wielgoß;Vattenfall;Energie;;;;https://www.tu-berlin.de/asv/menue/gremien/kuratorium/
Berlin;Humboldt-Universität zu Berlin;Dr. Susanne Kortendick;Metro AG;Handel;;;;https://gremien.hu-berlin.de/de/kuratorium/mitglieder
Hamburg;Universität Hamburg (ohne Klinikum);Dr. Michael Heller;Otto Gruppe;Handel;;;;https://www.uni-hamburg.de/uhh/organisation/gremien/hochschulrat.html
Hamburg;TU Hamburg-Harburg;Walter Conrads;Philips;Elektronik;;Vorsitzender;;https://www.tuhh.de/tuhh/uni/struktur/ambassadors.html
Hamburg;TU Hamburg-Harburg;Dr. Rüdiger Grube;Bombardier Transportation;Luftfahrt;;;Lufthansa Technik;https://www.tuhh.de/tuhh/uni/struktur/ambassadors.html
Hamburg;TU Hamburg-Harburg;Prof. Dr.-Ing. Stefan Palzer;Nestlé;Ernährung;;;;https://www.tuhh.de/tuhh/uni/struktur/ambassadors.html
Hessen;TU Darmstadt;Professor Dr.-Ing. Ernst Schmachtenberg;Bayer AG;Chemie;;Vorsitzender;;https://www.intern.tu-darmstadt.de/gremien/hochschulrat_3/
Hessen;TU Darmstadt;Professor Dr. Bernd Reckmann;Merck Group;Medizin;;;;https://www.intern.tu-darmstadt.de/gremien/hochschulrat_3/
Hessen;TU Darmstadt;Dr. Marie-Luise Wolff;Bayer AG;Chemie;;stellv. Vorsitzende;;https://www.intern.tu-darmstadt.de/gremien/hochschulrat_3/
Hessen;TU Darmstadt;Enis Ersü;ISRA Vision AG;Beratung;;;;https://www.intern.tu-darmstadt.de/gremien/hochschulrat_3/
Hessen;TU Darmstadt;Professor Dr. Wolfgang Wahlster;Deutsche Forschungszentrum für Künstliche Intelligenz (DFKI);Informatik;;;;https://www.intern.tu-darmstadt.de/gremien/hochschulrat_3/
Hessen;TU Darmstadt;Dr. Horst J. Kayser;Siemens AG;Elektrotechnik;;;;https://www.intern.tu-darmstadt.de/gremien/hochschulrat_3/
Hessen;Universität Frankfurt a.M. (ohne Klinikum);Prof. Dr. Claudia M. Buch;Deutsche Bank;Finanzwirtschaft;;;;https://www.uni-frankfurt.de/hochschulrat
Hessen;Universität Gießen;Dr. Wolfgang Maaß;Brühlsche Universitätsdruckerei GmbH & Co KG;Gewerbe;;;;http://www.uni-giessen.de/cms/org/gremien/hochschulrat
Hessen;Universität Gießen;Inge von Alvensleben;F. A. Wobst GmbH & Co. KG;Automobil;;;Liqui Moly;
Hessen;Universität Gießen;Marion Gottschalk;Ille Papierservice GmbH;Handel;;;;
Hessen;Universität Gießen;Dr. Peter Hanker;Volksbank Mittelhessen;Bank;;;;
Hessen;Universität Gießen;Hans Zehnder;KPMG;Wirtschaft;;;;
