Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname
;;Dominique Döttling;;Döttling & Partner Beratungsgesellschaft mbH;
;;Michael Suden;;Fiege Logistik Stiftung & Co. KG;
;Hochschule Ludwigshafen;Marco Esser;stellvertretender Vorsitzender;Commerzbank;
;Hochschule Trier;Theo Scholtes;Vorsitzender;Bitburger Braugruppe GmbH;
;;Holger von Keutz;Stellvertr. Vorsitzender;PricewaterhouseCoopers;
;Universität Mainz (ohne Klinikum);Prof. Dr. Dr. Andreas Barner;Vorsitzender;Boehringer Ingelheim;
;;Dr. Leopold von Heimendahl;;Schott Glas Konzerns;
Sachsen;Westsächsische Hochschule Zwickau;Frank Löschmann;;SisTeam Group;
;Hochschule Mittweida;Georg Kuka;;advanced fiber tools GmbH;
;;Sabine Sändig;;ifw optronics GmbH;
;Technische Universität Bergakademie Freiberg;Herr Dipl.-Ing. Mario Behrendt;;Deutsche Solar GmbH;
;;Herr Prof. Karl-Ulrich Köhler;;Tata Steel Europe;
;;Herr Prof. Dr. Burkhard Schwenker;;Roland Berger Strategy Consultants GmbH;
;Hochschule Zittau/Görlitz;Herr Dr.-Ing. Roman Müller;;Bombardier Transportation;
;Technische Universität Dresden (ohne Klinikum);Gunda Röstel ;Vorsitzende;GELSENWASSER;
;;Prof. Klaus Raps;Stellvertr. Vorsitzender;Bilfinger Berger;
;;Prof. Dr. sc. nat. Knut Löschke ;;Deutsche Bahn;Deutsche Bahn AG
;;Dipl.-Ing. Jörg Thiele ;;iproplan Planungsgesellschaft mbH;
;;Prof. Martin Winterkorn  ;;Volkswagen;Volkswagen AG
;Technische Universität Chemnitz;Hans J. Naumann;;NILES-SIMMONS-HEGENSCHEIDT GmbH;
;;Dr.-Ing. E. h. Gunnar Grosse;;KOMSA Kommunikation Sachsen AG;
;;Dipl.-Kfm. Bodo Finger;;Chemnitzer Zahnradfabrik GmbH & Co. KG;
;Universität Leipzig (ohne Klinikum);Knut Löschke;;"PC-Ware Information Technologies GmbH/AG; Comparex";
Schleswig-Holstein;Fachhochschule Kiel;Katrin Birr;;Gebr. Friedrich GmbH & Co KG;
;Fachhochschule Westküste;Gunnar Liehr;Vorsitzender;Siemens;
;;Dr. Regina Buhr;;VDI/VDE Innovation + Technik GmbH;
;Fachhochschule Lübeck;Dr. Erik Larsson;Vorsitzender;Glaxo Wellcome GmbH & Co., Bad Oldesloe;
;;Max Schön;;Max & Co Küchenhandelsgesellschaft mbH, Lübeck;
;Musikhochschule Lübeck;Renate Menken;;Possehl-Stiftung;
;Universität Flensburg;Andreas Dethleffsen;;Hermann G. Dethleffsen-Familienholding;
Sachsen-Anhalt;Hochschule Harz;Dr. Franz Mnich;Vorsitzender;Microvista GmbH;
;;Gerhard Bürger;;Bürger AG;
;;Prof. Dr. Hartmut Dannenberg;;HaCon Ingenieurgesellschaft mbH;
;;Dr. Dieter Nirschl;;TUI;TUIfly GmbH
;Universität Magdeburg (ohne Klinikum);Herr Günther Troppmann;;Deutsche Kreditbank;
;;Herr Dipl.-Ing. Helmut Gierse;;Siemens;
;;Herr Prof. Dr.-Ing. Ulf Plöcker;;Evonik;Evonik Degussa GmbH
;Hochschule Anhalt;Matthias Gabriel;;P-D ChemiePark Bitterfeld Wolfen GmbH;
;;Dr. Helge Fänger;;Serumwerk Bernburg AG;
;Hochschule Magdeburg-Stendal;Dr. Lutz Petermann;;FAM Magdeburger Förderanlagen und Baumaschinen GmbH;
;;Klemens Gutmann;;regiocom GmbH;
;Universität Halle (ohne Klinikum);Wilfried Klose;;Abfallwirtschaft Gmb;
Thüringen;Universität Jena (ohne Klinikum);Jürgen Radomski;;Siemens;
;;Prof. Dr. Michael Kaschke;;Carl Zeiss;Carl Zeiss AG
;Ernst Abbe Fachhochschule Jena;Klaus Berka;Vorsitzender;Analytik Jena AG;
;;Dr. Ute Bergner;;VACOM Vakuum Komponenten & Messtechnik GmbH;
;;Dr. Fred Grunert;;MAZeT GmbH;
;;Peter Popp;;Carl Zeiss;Carl Zeiss Jena GmbH
;Fachhochschule Erfurt;Herr Frank Belkner;;ERFURT Bildungszentrum GmbH;
;;Herr Dr. Jan Kemper;;CFO Zalando GmbH;
;Fachhochschule Nordhausen;Nadine Henkel;;EPC Technology GmbH;
;FH Schmalkalden;Siegbert Lapp;;Lapp Holding AG;
;Hochschule fÃ¼r Musik Franz Liszt Weimar;Georg Krupp;Vorsitzender;Deutsche Bank;
;;August-Wilhelm Scheer;;IDS Scheer AG;
;Technische Universität Ilmenau;Dr. Michael Mertin;;Jenoptik AG;
;;Dr. Edgar Most;;Deutsche Bank;
;Universität Erfurt;Wolfgang Kühnhold;;Lufthansa;Lufthansa AG
Mecklenburg-Vorpommern;Hochschule Neubrandenburg;Dipl.-Ing. Bernd Arnold;;Wilhelm Brandenburger GmbH u. Co. OHG;
;;Dipl.-Ing. Lutz Braun;;Architekturfabrik Neubrandenburg;
;;Roland Eifel;;Barmer Ersatzkasse;
;;Dr. rer.pol. Christine Färber;;Competence Consulting;
;Hochschule Wismar;Herr Dr.-Ing. Ulrich Förster;Vorsitzender;Lloyd's Register EMEA;
;;Herr David Pangerl, Master of Laws (LL.M.);;Buckstay GmbH;
;;Herr Tom Streicher, Dipl.-Ing.;;ECOVIS Grieger Mallison Management AG;
Berlin;FU Berlin;Dr. Johannes Evers;;Landesbank Berlin AG;
;Hochschule für Technik und Wirtschaft Berlin;Mathis Kuchejda;Vorsitzender;Schmidt + Haensch GmbH & Co.;
;HU Berlin;Burkhard Ischler;;Siemens;
