Bundesland;Uni;Name;Funktion;Unternehmen;Alternativname
;;Karl Schäuble;;Adolf Illig GmbH & Co.;
;;Ehrhard Steffen;Vorsitzender;Schwäbisch Hall Kredit Service AG;
;;Bettina Würth;;Würth;Würth-Gruppe
;Hochschule Karlsruhe;Brigitte Almaschi;stellvertr. Vorsitzende;Hewlett-Packard GmbH;
;;Bernd Bechtold;stellvertr. Vorsitzender;b.i.g.-Gruppe;
;;Hans Dietrich;;DV Bern Holding AG;
;;Lorenz Kohlbecker;;Bilfinger Berger;
;;Gerhard Oswald;;SAP;
;;Frithjof Punke;;Daimler;Daimler AG
;;Dr. Sabine Röser;;Rudolf Röser Verlag und Informationsdienste AG;
;Hochschule Konstanz;Prof. h. c. Thomas Sigi;Vorsitzender;AUDI AG;
;;Jaimi Cyrus;stellvertr. Vorsitzende;Hewlett-Packard GmbH;
;;Christian Böllhoff;;Geschäftsführer Prognos AG;
;;Dr. Andrea Leu;;Leu & Partner AG;
;Hochschule Offenburg;Dr. Winfried Blümel;;Progress-Werk Oberkirch AG;
;;Dr. Nicola M. Osypka;;CEO Osypka AG;
;;Dr.-Ing. Stefan Scheringer;;MEIKO Maschinenbau GmbH & Co. KG;
;;Dipl.-Ing. Bruno Schnekenburger;;Parker Hannifin GmbH+Co KG;
;Hochschule Pforzheim;Christine Kienhöfer;;Unternehmensgruppe Felss;
;;Dr. Hans-Eberhard Koch;;Witzenmann GmbH;
;;Dipl.-Kaufmann Frank Straub;Vorsitzender;BLANCO Gruppe;
;Hochschule Reutlingen;Andreas Renschler;Vorsitzender;Daimler;Daimler AG
;;Martina Koederitz;;IBM;
;;Christoph Kübel;;Bosch;
;;Andreas Kurtz;;PANDA GmbH Reutlingen;
;;Karl Schmauder;;Elring Klinger AG;
;;Kerstin Wagner;;Deutsche Bahn;DB Mobility Logistics AG
;Hochschule Ulm;Jürgen Mohilo;Vorsitzender;Daimler;Daimler Financial Services
;;Dr. Ulrich Hartmann;;Wieland-Werke;
;;Bärbel Hörger;;Mercedes-Benz Vans;
;;Dr. Martina Burgetsmeier;;eXXcellent solutions;
;Duale Hochschule Baden Württemberg;Lorenz Freudenberg;Vorsitzender;Freudenberg & Co. KG;
;;Dr.-Ing. Elke Schwing;;Roche;
;;Markus Ochsner;;ABB;
;;Günther Siegl;;Daimler;Daimler AG
;;Ralf Blasek;;IBM;
;;Prof. Edgar Bohn;Vorsitzender;BGV / Badische Versicherungen;
;;Gabrielle Kellermann;;BBBank eG;
;;Marcus Blümle;;E.G.O. Elektro-Gerätebau GmbH;
;;Markus Scheib;;MiRO Mineraloelraffinerie Oberrhein GmbH & Co. KG;
;;Christian Stäblein;;Filiadata GmbH;
;;Lars Mackel;;Zettwerk Software Engineering GmbH;
;Karlsruher Institut für Technologie;Dr. Andreas Kreimeyer;Stellvertr. Vorsitzender;BASF SE;
;;Susanne Kunschert;;Pilz GmbH & Co. KG;
;;Stefan Quandt;;AQTON SE;
;;Dr. Dieter Zetsche;;Daimler;Daimler AG
;Pädagogische Hochschule Freiburg;Anne-Kathrin Deutrich;Vorsitzende;Testo AG;
;;Dr. Anja Bauer-Harz;;Elektro-Schillinger GmbH;
;Staatliche Akademie der Bildenden Künste Stuttgart;Dr. Petra Kiedaisch;;avedition GmbH;
;;Dr. Volker Gerstenmaier;;Bankhaus Ellwanger & Geiger KG;
;Universität Freiburg (ohne Klinikum);Prof. Burkart Knospe;Vorsitzender;Testo AG;
;;Anne-Kathrin Deutrich;;Testo AG;
;;Dr. Christian Fischer;;BASF SE;
;;Dr. Dieter Pauschinger;;Trumpf;
;Universität Hohenheim;Dr. Wolfgang Kuhn;;Südwestbank AG;
;;Prof. Dr. Wolfgang Plischke;;Bayer;Bayer AG
;Universität Konstanz;Prof. Dr. Dieter Jahn;Vorsitz;BASF SE;
;;Ursula Schwarzenbart;Stellv. Vorsitz;Daimler;Daimler AG
