Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;;;
;;2011;Carl Zeiss;Geldleistung;Sponsoring;5950;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;VIEGA GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Unister Holding GmbH;Geldleistung;Sponsoring;595;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;AJZ Engineering GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Schott Jenaer Glas GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Bosch;Geldleistung;Sponsoring;4165;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;Bosch Solar Energy AG;;;
;;2011;TRIDELTA GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;asphericon GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Bauerfeind;Geldleistung;Sponsoring;4165;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Brose Gruppe;Geldleistung;Sponsoring;595;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Jenoptik AG;Geldleistung;Sponsoring;892,5;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Helmut Zipfel;Geldleistung;Sponsoring;550;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;LCP GmbH;Geldleistung;Sponsoring;654,5;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;KAHLA Thüringen Porzellan GmbH;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20- jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Verlag Franz Vahlen GmbH;Geldleistung;Sponsoring;595;"Tagung BW ""Ökonomie der Nachhaltigkeit""";;;;
;;2011;Schaeffer- Poeschel-Verlag f. Wirtschaft;Geldleistung;Sponsoring;595;"Tagung BW ""Ökonomie der Nachhaltigkeit""";;;;
;;2011;Analytik Jena AG;Geldleistung;Sponsoring;1190;"Tagungsveranstaltung ""bbmec 2011"", MT";;;;
;;2011;Eurocylinder systems AG;Geldleistung;Sponsoring;1785;Jubiläumsjahr 2011, 20 jähriges Bestehen der FH Jena, Feier;;;;
;;2011;Alere Technologies GmbH;Geldleistung;Sponsoring;1190;"Tagungsveranstaltung ""bbmec 2011"", MT";;;;
;;2011;Cetoni GmbH;Geldleistung;Sponsoring;595;"Tagungsveranstaltung ""bbmec 2011"", MT";;;;
;;2011;Dyomics GmbH;Geldleistung;Sponsoring;595;"Tagungsveranstaltung ""bbmec 2011"", MT";;;;
;;2011;Tailor & Francis;Geldleistung;Sponsoring;500;"Tagungsveranstaltung ""bbmec 2011"", MT";;;;
;;2011;Hoya Lens Deutschland GmbH;Geldleistung;Sponsoring;500;"Lehrbuch „Grundlagen Optik und Technologien in der Augenoptik""";;;;
;;2011;Rathenower Optik GmbH;Geldleistung;Sponsoring;500;"Lehrbuch „Grundlagen Optik und Technologien in der Augenoptik""";;;;
;;2011;Wolfrum Kälte Systeme GmbH;Geldleistung;Sponsoring;1190;"Tagungsveranstaltung ""bbmec 2011"", MT";;;;
;;2011;Essilor GmbH;Geldleistung;Sponsoring;500;"Lehrbuch „Grund- lagen Optik und Technologien in der Augenoptik""";;;;
;;2011;Bitburger Braugruppe GmbH;Geldleistung;Sponsoring;5950;Werbung & Schank recht, diverse Veranstaltungen der FH Jena;;;;
;;2011;Mitbestimmungs-, Forschungs- und Studien- Förderungswerk des Deutschen Gewerkschaftsbundes;Geldleistung;Sponsoring;500;Studentische Fachtagung zur Sozialpolitik 2011;;;;
;;2011;Jenoptik AG;Geldleistung;Spende;2189,53;BEGEGNUNGEN Kultur-Technik- Wirtschaft;;;;
;;2011;Gong Verlag GmbH;Geldleistung;Spende;7500;Unterstützung Fachbereich BW, Schwerpunkt Marke-;;;;
;;2011;Ernst-Abbe-Stiftung;Geldleistung;Spende;2000;20 jähriges Jubiläum der FH Jena;;;;
;;2011;Jenoptik AG;Geldleistung;Spende;1125;BEGEGNUNGEN Kultur-Technik- Wirtschaft;;;;
;;2011;Förderkreis Studium und Wirtschaft Jena e.V.;Geldleistung;Spende;1500;Thomson Datenbank;;;;
;;2011;Förderkreis d. FH Jena e.V.;Geldleistung;Spende;1000;"Workshop ""bbmec 2011"", Fachbereich MT";;;;
;;2011;Brose Gruppe;Geldleistung;Spende;500;Abschlussarbeit MB;;;;
;;2011;Erdbeerhof Gebesee GmbH;Geldleistung;Spende;1500;Unterstützung Fachbereich BW, Schwerpunkt Marketing;;;;
;;2011;EFE Elektronik-Forschungs- und Entwicklungs gesellschaft mbH;Geldleistung;Spende;2730;Stipendium für Fachbereich ET/IT;;;;
;;2011;EFE Elektronik-Forschungs- und Entwicklungs gesellschaft mbH;Geldleistung;Spende;1365;Stipendium für Fachbereich ET/IT;;;;
;;2011;Sparkassenstiftung Jena- Saale-Holzland;Geldleistung;Spende;1500;20 jähriges Jubiläum FH Jena, Lehrpreis;;;;
;;2011;Förderkreis d. FH Jena e.V.;Geldleistung;Spende;500;8. Jenaer Technologie Tag;;;;
;;2011;Förderkreis d. FH Jena e.V.;Geldleistung;Spende;500;"Workshop ""bbmec 2011"", Fachbereich MT";;;;
;;2011;Hella;Geldleistung;Spende;500;Förderung der Forschungstätigkeit, Prof. Fleck, Fachbereich ST;;;;
;;2011;Bio-Seehotel Zeulenroda GmbH & Co.KG;Geldleistung;Spende;3000;Unterstützung Fachbereich BW, Schwerpunkt Marketing;;;;
;;2011;JENOPTIK AG;Geldleistung;Spende;2273,82;BEGEGNUNGEN Kultur-Technik-Wirtschaft;;;;
