Bundesland;Universität;Jahr;Name des Gebers;Geld-/Sachspende;Art der Leistung;Wert;Hinweis;Alternativname;;;
;;2012;Bergmann Automotive GmbH;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Sennheiser Electronic GmbH & Co. KG;Geldleistung;Spende;1600;Deutschlandstipendium;;;;
;;2012;Ferchau Engineering;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Rossmann GmbH;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;4Com GmbH&Co KG;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;VGH, Hannover;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Chr. Hansen GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Nexans Deutschland GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Landeskirchenamt;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Bahlsen;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Aerzener Maschinenfabrik GmbH;Geldleistung;Spende;2700;Deutschlandstipendium;;;;
;;2012;Kaehlig Antriebstechnik GmbH;Geldleistung;Spende;1600;Deutschlandstipendium;;;;
;;2012;Frischli Milchwerke GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Ahlemer HS-Forum e.V.;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Transnorm System GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;ABG Allg.Baumaschinen-Gesellschaft mbH;Geldleistung;Spende;2700;Deutschlandstipendium;;;;
;;2012;Issendorf KG, Sarstedt;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;HIS, Hannover;Geldleistung;Spende;2700;Deutschlandstipendium;;;;
;;2012;Stadtwerke, Hannover;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;LPKF Laser & Elektronics AG;Geldleistung;Spende;7200;Deutschlandstipendium;;;;
;;2012;Siemens;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Künkel Prozeßtechnologie GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Continental;Geldleistung;Spende;5400;Deutschlandstipendium;;;;
;;2012;Reemtsma GmbH;Geldleistung;Spende;5400;Deutschlandstipendium;;;;
;;2012;VHV Holding AG;Geldleistung;Spende;2500;Deutschlandstipendium;;;;
;;2012;Kölner Gymnasial Stiftungsfond;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;M.Wessel GmbH;Geldleistung;Spende;4800;Deutschlandstipendium;;;;
;;2012;Continental;Geldleistung;Spende;5400;Deutschlandstipendium;;;;
;;2012;OBO Werke GmbH & Co;Geldleistung;Spende;4792,73;Sachspende Formenbaustoff;;;;
;;2012;P&H Zerspanungstechnik GmbH;Sachleistung;Spende;1904;Sachspende Fahrwerksteile;;;;
;;2012;Deister Electronic GmbH;Geldleistung;Spende;1600;Durchführung Projekt;;;;
;;2012;Nord LB, Hannover;Geldleistung;Spende;2000;Durchführung Projekt DM Hohes Ufer Venedig;;;;
;;2012;Brauhaus Ernst August GmbH&Co KG;Geldleistung;Spende;1000;Durchführung Projekt DM Hohes Ufer Venedig;;;;
;;2012;Sparda Bank, Hannover;;;2000;Durchführung Projekt DM Hohes;;;;
;;2012;VGH Versicherungen;Geldleistung;Sponsoring;16806,72;Durchführung Lumix Festival;;;;
;;2012;Panasonic Marketing Europe GmbH;Geldleistung;Sponsoring;30000;Durchführung Lumix Festival;;;;
;;2012;Hannover Impuls GmbH;Geldleistung;Sponsoring;20000;Durchführung Lumix Festival;;;;
;;2012;Panasonic Marketing Europe GmbH;Geldleistung;Sponsoring;20000;Durchführung Lumix Festival;;;;
;;2012;Sparkasse Hannover;Geldleistung;Sponsoring;10000;Durchführung Projekt Modepreis Hannover;;;;
;;2012;Theo Wormland GmbH & Co.KG;Geldleistung;Sponsoring;5000;Durchführung Projekt Modepreis Hannover;;;;
;;2012;Stiftung Horizonte;Geldleistung;Sponsoring;5000;Durchführung Projekt Modepreis Hannover;;;;
;;2012;Volksbank Hannover;Geldleistung;Spende;35000;Durchführung Master Stdg. Unternehmensberatung;;;;
;Hochschule Wilhelmshaven/Oldenburg/Elsfleth (FH);2012;Gertrud und Hellmut Barthel-Stiftung;Geldleistung;Spende;30000;Förderung begabter Studierender;;;;
;;2012;Gertrud und Hellmut Barthel-Stiftung;Geldleistung;Spende;9000;Deutschlandstipendium;;;;
;;2012;Esri Deutschland GmbH;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Verein zur Förderung der FH in WHV;Geldleistung;Spende;5400;Deutschlandstipendium;;;;
;;2012;Aicon 3D Systems GmbH;Geldleistung;Spende;4200;Deutschlandstipendium;;;;
;;2012;Oltmanns & Partner GmbH;Geldleistung;Spende;9600;Deutschlandstipendium;;;;
;;2012;Dr. Carl Behrmann Gedächtnisstiftung;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Bakir Immobilien;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Landessparkasse zu Oldenburg;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Karl-Heinz Foehlinger;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Institut für Rohrleitungsbau Oldenburg;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Karl Behrens Softwareentwicklung;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Julius Berger International;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Hermann Rothert Stiftung;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Nietiedt Verwaltungs GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Siemens;Geldleistung;Spende;5400;Deutschlandstipendium;Siemens Audiologische Technik Erlangen;;;
;;2012;GN Hearing GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Aljo Aluminium-Bau Jonuscheit GmbH;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Verein der Förderer der FH OL;Geldleistung;Spende;1500;Deutschlandstipendium;;;;
;;2012;Deutsche Bahn;Geldleistung;Spende;7200;Deutschlandstipendium;DB Netz AG Hannover;;;
;;2012;Sparkasse Wilhelmshaven;Geldleistung;Spende;5400;Deutschlandstipendium;;;;
;;2012;Cewe Color AG & Co. OHG;Geldleistung;Spende;9000;Deutschlandstipendium;;;;
;;2012;Stiftung Kulturkreis WHV-Friesland Wilhelmshaven;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Stiftung der Metallindustrie Nord-West Oldenburg;Geldleistung;Spende;3600;Deutschlandstipendium;;;;
;;2012;Rotary Club WHV;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Gerd-Möller-Stiftung;Geldleistung;Spende;9000;Deutschlandstipendium;;;;
;;2012;MLP AG;Geldleistung;Spende;1800;Deutschlandstipendium;;;;
;;2012;Nordmetall;Geldleistung;Spende;3000;Konstruktionswettbewerb Design Challenge;;;;
;;2012;Meyer Werft GmbH Papenburg;Geldleistung;Spende;1000;Konstruktionswettbewerb Design Challenge;;;;
;;2012;Leto Kunststoff-Technik GmbH & Co. KG Wilhelmshaven;Acrylglas;Spende;1000;Konstruktionswettbewerb Design Challenge;;;;
;;2012;Eisenhart Laeppché GmbH Wilhelmshaven;Kugellager;Spende;4112,13;Konstruktionswettbewerb Design Challenge;;;;
;;2012;Bühler GmbH;Motoren und Getriebe;Spende;1900;Konstruktionswettbewerb Design Challenge;;;;
;;2012;Ed. Züblin AG;Geldleistung;Spende;1000;Exkursion Rom;;;;
;;2012;Arbeitgeberverband Oldenburg;Geldleistung;Spende;1000;Studentinnen auf Probe;;;;
;;2012;BWV Berufsbildungswerk der dtsch. Versicherungswirtschaft Oldenburg;Geldleistung;Spende;10000;Dualer Studiengang Insurance, Banking & Finance;;;;
;;2012;Sparkasse Wilhelmshaven;Geldleistung;Spende;10000;Dualer Studiengang Insurance, Banking & Finance;;;;
;;2012;Prof. Dr. Manfred Weisensee Hude;Geldleistung;Spende;1000;Forschung u. Wissenschaft;;;;
;Medizinische Hochschule Hannover;2012;Abbott GmbH & Co. KG;Geldleistung;Sponsoring;18400;Veranstaltung;;;;
;;2012;AB-Medica Deutschland GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Actelion Pharmaceuticals;Geldleistung;Sponsoring;1750;Veranstaltung;;;;
;;2012;Aesculap AG;Geldleistung;Sponsoring;7276;Veranstaltung;;;;
;;2012;Aeveo GmbH;Geldleistung;Sponsoring;5000;Veranstaltung;;;;
;;2012;Aktormed GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Alberttinen Krks.;Geldleistung;Sponsoring;6000;Veranstaltung;;;;
;;2012;Alexion Pharma GmbH;Geldleistung;Sponsoring;3000;Veranstaltung;;;;
;;2012;Almirall Hermal GmbH;Geldleistung;Sponsoring;19680,67;Veranstaltung;;;;
;;2012;American Diagnostica GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Amgen GmbH;Geldleistung;Sponsoring;7500;Veranstaltung;;;;
;;2012;AmplexBiosystems GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Antisense Pharma;Geldleistung;Sponsoring;1680,67;Veranstaltung;;;;
;;2012;Aqua Free Membrane;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Astellas Pharma;Geldleistung;Sponsoring;3500;Veranstaltung;;;;
;;2012;Astra Tech GmbH;Geldleistung;Sponsoring;3000;Veranstaltung;;;;
;;2012;Astra Zeneca GmbH;Geldleistung;Sponsoring;4000;Veranstaltung;;;;
;;2012;Atoss Software AG;Geldleistung;Sponsoring;4924;Veranstaltung;;;;
;;2012;Baxter Deutschland GmbH;Geldleistung;Sponsoring;9500;Veranstaltung;;;;
;;2012;Baxter GmbH;Geldleistung;Sponsoring;7680,67;Veranstaltung;;;;
;;2012;Bayer;Geldleistung;Sponsoring;38100;Veranstaltung;Bayer Vital GmbH;;;
;;2012;Beckman Coulter GmbH;Geldleistung;Sponsoring;2500;Veranstaltung;;;;
;;2012;Becton Dickinson GmbH;Geldleistung;Sponsoring;2000;Veranstaltung;;;;
;;2012;Bergische Uni Wuppertal;Geldleistung;Sponsoring;1390,7;Veranstaltung;;;;
;;2012;Biofrontera Pharma GmbH;Geldleistung;Sponsoring;3132;Veranstaltung;;;;
;;2012;Biotest AG;Geldleistung;Sponsoring;3180,67;Veranstaltung;;;;
;;2012;Biotronik Vertriebs;Geldleistung;Sponsoring;8000;Veranstaltung;;;;
;;2012;Boehringer Ingelheim;Geldleistung;Sponsoring;2000;Veranstaltung;;;;
;;2012;Bracco Imanging Deutschland;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Brandes & Diesing;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Bristol Myers;Geldleistung;Sponsoring;45800;Veranstaltung;;;;
;;2012;BVK Auslandszahlungsverk.;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Capsid;Geldleistung;Sponsoring;2283;Veranstaltung;;;;
;;2012;Cell Pharm GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Chiesi GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Cook Deutschland GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Covidien GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;CSL Behring GmbH;Geldleistung;Sponsoring;3380,67;Veranstaltung;;;;
;;2012;CVRX Inc.;Geldleistung;Sponsoring;1680,67;Veranstaltung;;;;
;;2012;Daiichi Sankyo Deutschland;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Daimler;Geldleistung;Sponsoring;5000;Veranstaltung;;;;
;;2012;DCS Innovative Diag.-Sys.;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Dermoscan GmbH;Geldleistung;Sponsoring;2563;Veranstaltung;;;;
;;2012;Deutscher Ärzte-Verlag GmbH;Geldleistung;Sponsoring;12000;Veranstaltung;;;;
;;2012;Diamed GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Eisai GmbH;Geldleistung;Sponsoring;2500;Veranstaltung;;;;
;;2012;EMH Ecclesia;Geldleistung;Sponsoring;5000;Veranstaltung;;;;
;;2012;Esaote Biomedica Deutschland;Geldleistung;Sponsoring;3132;Veranstaltung;;;;
;;2012;EV3 germany;Geldleistung;Sponsoring;4000;Veranstaltung;;;;
;;2012;Fotofinder Systems GmbH;Geldleistung;Sponsoring;3126;Veranstaltung;;;;
;;2012;Frankfurt School of Finance;Geldleistung;Sponsoring;2866;Veranstaltung;;;;
;;2012;Fresenius Biotech GmbH;Geldleistung;Sponsoring;11100;Veranstaltung;;;;
;;2012;Galderma Laboratorium GmbH;Geldleistung;Sponsoring;10000;Veranstaltung;;;;
;;2012;Galen Ltd.;Geldleistung;Sponsoring;1680,67;Veranstaltung;;;;
;;2012;GE U/S Deutschland GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Geistlich Biomaterials GmbH;Geldleistung;Sponsoring;2500;Veranstaltung;;;;
;;2012;Glaxo-Smith-Kline GmbH & Co. KG;Geldleistung;Sponsoring;27000;Veranstaltung;;;;
;;2012;Glaxo-Smith-Kline GmbH & Co. KG;Geldleistung;Sponsoring;2785;Veranstaltung;;;;
;;2012;Gottschalk, Dr. Andre;Geldleistung;Sponsoring;1890,76;Veranstaltung;;;;
;;2012;Grünenthal GmbH;Geldleistung;Sponsoring;3100;Veranstaltung;;;;
;;2012;Guerbet GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Haufe-Lexware GmbH;Geldleistung;Sponsoring;1062,5;Veranstaltung;;;;
;;2012;Hospira Germany GmbH;Geldleistung;Sponsoring;2760,5;Veranstaltung;;;;
;;2012;IBA GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;ICS Adminservice GmbH;Geldleistung;Sponsoring;3060;Veranstaltung;;;;
;;2012;Ipsen Pharma GmbH;Geldleistung;Sponsoring;6000;Veranstaltung;;;;
;;2012;J.C.General Services CVBA Belgium;Geldleistung;Sponsoring;2600;Veranstaltung;;;;
;;2012;Janssen Cilag GmbH;Geldleistung;Sponsoring;7701,68;Veranstaltung;;;;
;;2012;JUH -RV-Nieder;Geldleistung;Sponsoring;2332;Veranstaltung;;;;
;;2012;Karl Storz GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Kinderhut GmbH;Geldleistung;Sponsoring;1820,58;Veranstaltung;;;;
;;2012;Klinikfinder de GBR;Geldleistung;Sponsoring;1758;Veranstaltung;;;;
;;2012;Konzept-Studio Werbe;Geldleistung;Sponsoring;25000;Veranstaltung;;;;
;;2012;Krack,Matthias;Geldleistung;Sponsoring;1136;Veranstaltung;;;;
;;2012;Leo Pharma GmbH;Geldleistung;Sponsoring;45004,85;Veranstaltung;;;;
;;2012;Lilly Deutschland GmbH;Geldleistung;Sponsoring;5000;Veranstaltung;;;;
;;2012;Lumesse GmbH Step-stone Solutions GmbH;Geldleistung;Sponsoring;4481;Veranstaltung;;;;
;;2012;Lundbeck GmbH;Geldleistung;Sponsoring;10000;Veranstaltung;;;;
;;2012;Lyomark Pharma GmbH;Geldleistung;Sponsoring;2500;Veranstaltung;;;;
;;2012;Mectron Deutschland;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Meda Pharma GmbH;Geldleistung;Sponsoring;3126;Veranstaltung;;;;
;;2012;Medac GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Medac GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Medtronic GmbH;Geldleistung;Sponsoring;11061;Veranstaltung;;;;
;;2012;Mela Sciences Inc.;Geldleistung;Sponsoring;15036,68;Veranstaltung;;;;
;;2012;Michelson Diagnostics;Geldleistung;Sponsoring;3126;Veranstaltung;;;;
;;2012;Microvention Deutschland GmbH;Geldleistung;Sponsoring;2500;Veranstaltung;;;;
;;2012;Mides Gesmbh;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Miltenyi Biotec GmbH;Geldleistung;Sponsoring;4220;Veranstaltung;;;;
;;2012;Milupa GmbH;Geldleistung;Sponsoring;1951,64;Veranstaltung;;;;
;;2012;MIP Pharma GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Mölnlycke Health Care GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;MSD Sharp & Dohme GmbH;Geldleistung;Sponsoring;14500;Veranstaltung;;;;
;;2012;Mundipharma GmbH;Geldleistung;Sponsoring;2000;Veranstaltung;;;;
;;2012;Novartis;Geldleistung;Sponsoring;27449,58;Veranstaltung;;;;
;;2012;Novo Nordisk Pharma;Geldleistung;Sponsoring;3000;Veranstaltung;;;;
;;2012;Optimed Med.Instrumente;Geldleistung;Sponsoring;2500;Veranstaltung;;;;
;;2012;Orange Dental;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;OSMED GmbH;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;P&I Personal Informatik AG;Geldleistung;Sponsoring;8000;Veranstaltung;;;;
;;2012;Paul Hartmann AG;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Penumbra Europe GmbH;Geldleistung;Sponsoring;8000;Veranstaltung;;;;
;;2012;Perkura GmbH;Geldleistung;Sponsoring;2454;Veranstaltung;;;;
;;2012;Pfizer;Geldleistung;Sponsoring;3500;Veranstaltung;;;;
;;2012;Pierre Fabre Pharma;Geldleistung;Sponsoring;4000;Veranstaltung;;;;
;;2012;Pluradent AG;Geldleistung;Sponsoring;1500;Veranstaltung;;;;
;;2012;Rathiopharm GmbH;Geldleistung;Sponsoring;16500;Veranstaltung;;;;
;;2012;Riemser Arzneimittel AG;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Roche;Geldleistung;Sponsoring;69185,49;Veranstaltung;;;;
;;2012;RZV GmbH;Geldleistung;Sponsoring;1846;Veranstaltung;;;;
;;2012;SAP;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Sequent Medical GmbH;Geldleistung;Sponsoring;3000;Veranstaltung;;;;
;;2012;Servier Deutschland GmbH;Geldleistung;Sponsoring;3000;Veranstaltung;;;;
;;2012;Shire Deutschland GmbH;Geldleistung;Sponsoring;5000;Veranstaltung;;;;
;;2012;Siemens;Geldleistung;Sponsoring;15500;Veranstaltung;;;;
;;2012;Siemens;Geldleistung;Sponsoring;1500;Veranstaltung;Siemens Healthcare;;;
;;2012;Sinoma GmbH;Geldleistung;Sponsoring;2949,78;Veranstaltung;;;;
;;2012;Sophien-Klinik;Geldleistung;Sponsoring;2142,86;Veranstaltung;;;;
;;2012;Sorin Group Deutschland;Geldleistung;Sponsoring;7500;Veranstaltung;;;;
;;2012;Sorin S.P.A.;Geldleistung;Sponsoring;7500;Veranstaltung;;;;
;;2012;Spirig Pharma GmbH;Geldleistung;Sponsoring;15000;Veranstaltung;;;;
;;2012;Städt.Klinikum BS;Geldleistung;Sponsoring;4000;Veranstaltung;;;;
;;2012;Straumann GmbH;Geldleistung;Sponsoring;3000;Veranstaltung;;;;
;;2012;Stryker GmbH & Co. KG;Geldleistung;Sponsoring;7535,77;Veranstaltung;;;;
;;2012;Stryker SA;Geldleistung;Sponsoring;6584,15;Veranstaltung;;;;
;;2012;Swedish Orphan Biovitrum GmbH;Geldleistung;Sponsoring;6489;Veranstaltung;;;;
;;2012;Sysmex Deutschland GmbH;Geldleistung;Sponsoring;2000;Veranstaltung;;;;
;;2012;Teleflex Medical GmbH;Geldleistung;Sponsoring;7563,03;Veranstaltung;;;;
;;2012;Terumo GmbH;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Thieme Compliance GmbH;Geldleistung;Sponsoring;1200;Veranstaltung;;;;
;;2012;Toshiba Medical System;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Universität Siegen;Geldleistung;Sponsoring;11499,16;Veranstaltung;;;;
;;2012;Universitätsklinikum Jena;Geldleistung;Sponsoring;1741,5;Veranstaltung;;;;
;;2012;Universitätsklinikum Köln;Geldleistung;Sponsoring;1260,5;Veranstaltung;;;;
;;2012;Vascutek Deutschland GmbH;Geldleistung;Sponsoring;20000;Veranstaltung;;;;
;;2012;Visiomed AG;Geldleistung;Sponsoring;3025;Veranstaltung;;;;
;;2012;Visus Technology Transfer;Geldleistung;Sponsoring;1000;Veranstaltung;;;;
;;2012;Weber, Dr. Michael;Geldleistung;Sponsoring;3500;Veranstaltung;;;;
;;2012;Wicke, Dr. Daniel;Geldleistung;Sponsoring;22294,3;Veranstaltung;;;;
;;2012;Zeit-Stiftung;Geldleistung;Sponsoring;3595,6;Veranstaltung;;;;
;;2012;Actavis Deutschland;Geldleistung;Spende;2500;Veranstaltung;;;;
;;2012;Addisca Gemeinnützige GmbH;Geldleistung;Spende;9358,43;Stipendium;;;;
;;2012;Allerheiligen, Dieter und Rosemarie;Geldleistung;Spende;5000;Fortbildung;;;;
;;2012;Ameos Klinikum Hildesheim;Geldleistung;Spende;3000;Wiss. Zwecke;;;;
;;2012;AOK;Geldleistung;Spende;5000;Veranstaltung;;;;
;;2012;Astellas Pharma;Geldleistung;Spende;7000;Verbesserung der Patientenversorgung;;;;
;;2012;Astellas Pharma;Geldleistung;Spende;14000;Kongress;;;;
;;2012;Billy Rubin-Förderverein Kindergastroeteologie MHH;Geldleistung;Spende;4000;Forschung;;;;
;;2012;Billy Rubin-Förderverein Kindergastroeteologie MHH;Geldleistung;Spende;10800;Wiss. Zwecke;;;;
;;2012;Biotest AG;Geldleistung;Spende;10000;Wiss. Zwecke;;;;
;;2012;Birger Stack Nachlass;Geldleistung;Spende;2965;Forschung;;;;
;;2012;BMW;Geldleistung;Spende;5000;Veranstaltung;;;;
;;2012;Boston Scientific GmbH;Geldleistung;Spende;1000;Veranstaltung;;;;
;;2012;Britax Group Ltd.;Geldleistung;Spende;2500;Veranstaltung;;;;
;;2012;C.R.Bard GmbH;Geldleistung;Spende;1000;Veranstaltung;;;;
;;2012;Cartiva Inc.;Geldleistung;Spende;2500;Forschung;;;;
;;2012;CF-Selbsthilfe e.V. Braunschweig;Geldleistung;Spende;3000;Wiss. Zwecke;;;;
;;2012;Ch.Büter Präzisionswerkzeug- Elemente GmbH;Geldleistung;Spende;30000;Fortbildung;;;;
;;2012;Claudia von Schilling Foundation;Geldleistung;Spende;25000;Veranstaltung;;;;
;;2012;Claudia von Schilling Foundation;Geldleistung;Spende;2400;Wiss. Zwecke;;;;
;;2012;Continental;Geldleistung;Spende;1500;Veranstaltung;;;;
;;2012;CSL Behring GmbH;Geldleistung;Spende;30000;Wiss. Zwecke;;;;
;;2012;Cytyc Limited Partnership;Geldleistung;Spende;15776;Wiss. Zwecke;;;;
;;2012;Dähn, Jörg;Geldleistung;Spende;1000;Wiss. Zwecke;;;;
;;2012;Dentsply IH GMBH;Geldleistung;Spende;25000;Wiss. Zwecke;;;;
;;2012;Deutsche Bank;Geldleistung;Spende;1000;Wiss. Zwecke;;;;
;;2012;Deutsche Gesellschaft für medizinische Soziologie;Geldleistung;Spende;2500;Veranstaltung;;;;
;;2012;Deutschsprachige Mykologische Gesellschaft e.V.;Geldleistung;Spende;1000;Veranstaltung;;;;
;;2012;DRF-Stiftung Luftrettung;Geldleistung;Spende;2000;Veranstaltung;;;;
;;2012;DRK Nordsee-Kurzentrum;Geldleistung;Spende;2800;Wiss. Zwecke;;;;
;;2012;Edwards Life Sciences;Geldleistung;Spende;15000;Veranstaltung;;;;
;;2012;Erich und Emmy Hoselmann-Stiftung;Geldleistung;Spende;40000;Forschung;;;;
;;2012;European Federation of Immunological Societies;Geldleistung;Spende;4500;Veranstaltung;;;;
;;2012;Fam. Willing;Geldleistung;Spende;1030;Strukturelle Verbesserung;;;;
;;2012;Flebbe, Werner;Geldleistung;Spende;3000;Wiss. Zwecke;;;;
;;2012;Förderverein d.Zentrums f.Zahn-Mund und Kieferheil;Geldleistung;Spende;3600;Stipendium;;;;
;;2012;Fortbildung in der GHE;Geldleistung;Spende;15000;Fortbildung;;;;
;;2012;Fresenius Kabi Deutschland GmbH;Geldleistung;Spende;41000;Wiss. Zwecke;;;;
;;2012;Freundeskreis der Leukämie;Geldleistung;Spende;10000;Wiss. Zwecke;;;;
;;2012;Ganser, Prof.Dr. Arnold;Geldleistung;Spende;300000;Wiss. Zwecke;;;;
;;2012;Gesellschaft der Freunde der MHH;Geldleistung;Spende;4230,42;Forschung;;;;
;;2012;Gesellschaft der Freunde der MHH;Geldleistung;Spende;6275;Kita;;;;
;;2012;Gesellschaft der Freunde der MHH;Geldleistung;Spende;1389,91;Wiss. Zwecke;;;;
;;2012;Gilead Sciences GmbH;Geldleistung;Spende;70050;Forschung;;;;
;;2012;Guerbet GMBH;Geldleistung;Spende;1000;Veranstaltung;;;;
;;2012;Hannover 96 GmbH;Geldleistung;Spende;9500;Verbesserung der Patientenversorgung;;;;
;;2012;Hannoversche Volksbank EG;Geldleistung;Spende;1500;Verbesserung der Patientenversorgung;;;;
;;2012;Haverich, Prof.Dr. Axel;Geldleistung;Spende;1800;Stipendium;;;;
;;2012;Hexal AG;Geldleistung;Spende;10000;Forschung und Lehre;;;;
;;2012;Immer, Johannes;Geldleistung;Spende;1351,83;Verbesserung der Patientenversorgung;;;;
;;2012;IQuL GmbH;Geldleistung;Spende;1800;Stipendium;;;;
;;2012;Karl Storz GmbH;Geldleistung;Spende;1500;Veranstaltung;;;;
;;2012;Kinderhilfe Organtransplantation;Geldleistung;Spende;6000;Wiss. Zwecke;;;;
;;2012;Kluever, Jens;Geldleistung;Spende;3145;Forschung;;;;
;;2012;L´Oreal Deutschland GmbH;Geldleistung;Spende;3000;Veranstaltung;;;;
;;2012;Leberkrankes Kind e.V.;Geldleistung;Spende;1000;Verbesserung der Patientenversorgung;;;;
;;2012;Manns, Michael Peter Dr.;Geldleistung;Spende;1800;Stipendium;;;;
;;2012;Mectron Deutschland;Geldleistung;Spende;12000;Wiss. Zwecke;;;;
;;2012;Mehr Aktion für Kinder;Geldleistung;Spende;8016;Wiss. Zwecke;;;;
;;2012;Meier, Gerd;Geldleistung;Spende;2655,82;Verbesserung der Patientenversorgung;;;;
;;2012;Merkesdal, Sonja;Geldleistung;Spende;5000;Forschung;;;;
;;2012;Merkesdal, Sonja;Geldleistung;Spende;5000;Wiss. Zwecke;;;;
;;2012;Novartis;Geldleistung;Spende;10000;Forschung;;;;
;;2012;Novo Nordisk Pharma;Geldleistung;Spende;50000;Wiss. Zwecke;;;;
;;2012;Octapharma GmbH;Geldleistung;Spende;1000;Veranstaltung;;;;
;;2012;Pfizer;Geldleistung;Spende;3000;Veranstaltung;;;;
;;2012;Poehler, Claudia;Geldleistung;Spende;1240;Forschung;;;;
;;2012;Polyphor AG;Geldleistung;Spende;40000;Forschung;;;;
;;2012;Push GmbH;Geldleistung;Spende;1972;Veranstaltung;;;;
;;2012;Roche;Geldleistung;Spende;1000;Veranstaltung;;;;
;;2012;Roche;Geldleistung;Spende;1500;Wiss. Zwecke;;;;
;;2012;Roche;Geldleistung;Spende;1500;Fortbildung;;;;
;;2012;Roche;Geldleistung;Spende;10000;Strukturelle Verbesserung;;;;
;;2012;Rotarischer Gemeindienst Bad Nenndorf;Geldleistung;Spende;9000;Forschung;;;;
